Turn,Happiness,Load
0,412.0,149.0
1,412.0,149.0
2,412.0,149.0
3,412.0,149.0
4,412.0,217.0
5,471.0,217.0
6,471.0,217.0
7,471.0,217.0
8,471.0,217.0
9,471.0,217.0
10,471.0,217.0
11,471.0,217.0
12,471.0,217.0
13,471.0,217.0
14,471.0,217.0
15,471.0,217.0
16,471.0,217.0
17,471.0,217.0
18,471.0,217.0
19,471.0,217.0
20,471.0,217.0
21,471.0,217.0
22,471.0,217.0
23,471.0,217.0
24,471.0,217.0
25,471.0,217.0
26,471.0,217.0
27,471.0,217.0
28,471.0,217.0
29,471.0,217.0
30,471.0,217.0
31,471.0,217.0
32,471.0,217.0
33,471.0,217.0
34,471.0,217.0
35,471.0,217.0
36,471.0,217.0
37,471.0,217.0
38,471.0,217.0
39,471.0,217.0
40,471.0,217.0
41,471.0,217.0
42,471.0,217.0
43,471.0,217.0
44,471.0,217.0
45,471.0,217.0
46,471.0,217.0
47,471.0,217.0
48,471.0,217.0
49,471.0,244.0
50,373.0,244.0
51,373.0,244.0
52,373.0,244.0
53,373.0,244.0
54,373.0,244.0
55,373.0,244.0
56,373.0,244.0
57,373.0,244.0
58,373.0,244.0
59,373.0,244.0
60,373.0,244.0
61,373.0,244.0
62,373.0,244.0
63,373.0,244.0
64,373.0,244.0
65,373.0,244.0
66,373.0,244.0
67,373.0,244.0
68,373.0,244.0
69,373.0,244.0
70,373.0,244.0
71,373.0,244.0
72,373.0,244.0
73,373.0,244.0
74,373.0,244.0
75,373.0,244.0
76,373.0,244.0
77,373.0,244.0
78,373.0,244.0
79,373.0,244.0
80,373.0,244.0
81,373.0,244.0
82,373.0,244.0
83,373.0,244.0
84,373.0,244.0
85,373.0,244.0
86,373.0,244.0
87,373.0,244.0
88,373.0,244.0
89,373.0,244.0
90,373.0,244.0
91,373.0,244.0
92,373.0,244.0
93,373.0,244.0
94,373.0,244.0
95,373.0,244.0
96,373.0,244.0
97,373.0,244.0
98,373.0,244.0
99,373.0,244.0
100,373.0,244.0
101,373.0,244.0
102,373.0,244.0
103,373.0,244.0
104,373.0,244.0
105,373.0,244.0
106,373.0,244.0
107,373.0,244.0
108,373.0,244.0
109,373.0,244.0
110,373.0,244.0
111,373.0,244.0
112,373.0,244.0
113,373.0,244.0
114,373.0,244.0
115,373.0,244.0
116,373.0,244.0
117,373.0,244.0
118,373.0,244.0
119,373.0,244.0
120,373.0,244.0
121,373.0,244.0
122,373.0,244.0
123,373.0,244.0
124,373.0,244.0
125,373.0,244.0
126,373.0,244.0
127,373.0,244.0
128,373.0,244.0
129,373.0,244.0
130,373.0,244.0
131,373.0,244.0
132,373.0,244.0
133,373.0,244.0
134,373.0,244.0
135,373.0,244.0
136,373.0,244.0
137,373.0,244.0
138,373.0,244.0
139,373.0,244.0
140,373.0,244.0
141,373.0,244.0
142,373.0,244.0
143,373.0,244.0
