Turn,Happiness,Load
0,0,15
1,0,15
2,0,15
3,0,15
4,0,15
5,0,15
6,8,24
7,8,24
8,11,29
9,11,29
10,11,29
11,11,29
12,11,29
13,11,29
14,11,29
15,11,29
16,11,29
17,11,29
18,11,29
19,11,29
20,11,29
21,11,29
22,11,29
23,11,29
24,11,29
25,11,29
26,11,29
27,11,29
28,11,29
29,11,29
30,11,29
31,11,29
32,11,29
33,11,29
34,11,29
35,11,29
36,11,29
37,11,29
38,11,29
39,11,29
40,11,29
41,11,29
42,11,29
43,11,29
44,11,29
45,11,29
46,11,29
47,11,29
48,11,29
49,11,29
50,11,29
51,11,29
52,11,29
53,11,29
54,11,29
55,11,29
56,11,29
57,11,29
58,11,29
59,11,29
60,11,29
61,11,29
62,11,29
63,11,29
64,11,29
65,11,29
66,11,29
67,11,29
68,11,29
69,11,29
70,11,29
71,11,29
72,11,29
73,11,29
74,11,29
75,11,29
76,11,29
77,11,29
78,11,29
79,11,29
80,11,29
81,11,29
82,11,29
83,11,29
84,11,29
85,11,29
86,11,29
87,11,29
88,11,29
89,11,29
90,11,29
91,11,29
92,11,29
93,11,29
94,11,29
95,11,29
96,11,29
97,11,29
98,11,29
99,11,29
100,11,29
101,11,29
102,11,29
103,11,29
104,11,29
105,11,29
106,15,35
107,15,35
108,15,35
109,15,35
110,15,35
111,15,35
112,15,35
113,15,35
114,15,35
115,15,35
116,15,35
117,15,35
118,15,35
119,15,35
120,15,35
121,15,35
122,15,35
123,15,35
124,15,35
125,15,35
126,15,35
127,15,35
128,15,35
129,15,35
130,15,35
131,15,35
132,15,35
133,15,35
134,15,35
135,15,35
136,15,35
137,15,35
138,15,35
139,15,35
140,3,1
141,0,0
142,0,0
143,0,0
