Turn,Happiness,Load
0,0,28
1,0,28
2,0,28
3,0,28
4,0,28
5,0,28
6,0,28
7,0,28
8,0,28
9,0,28
10,0,28
11,0,28
12,0,33
13,0,33
14,0,33
15,0,33
16,0,33
17,0,33
18,0,33
19,0,33
20,0,33
21,0,33
22,0,33
23,0,33
24,0,33
25,0,33
26,0,33
27,0,33
28,0,33
29,0,33
30,0,33
31,0,33
32,0,33
33,5,38
34,5,38
35,5,38
36,5,38
37,5,38
38,5,38
39,5,38
40,5,38
41,5,38
42,5,38
43,5,38
44,5,38
45,5,38
46,5,38
47,5,38
48,5,38
49,5,38
50,5,38
51,5,38
52,5,38
53,5,38
54,5,38
55,5,38
56,5,38
57,5,38
58,5,38
59,5,38
60,5,38
61,5,38
62,5,38
63,5,38
64,5,38
65,5,38
66,5,38
67,5,38
68,5,38
69,5,38
70,5,38
71,5,38
72,5,38
73,5,38
74,5,38
75,5,38
76,5,38
77,5,38
78,5,38
79,5,38
80,5,38
81,5,38
82,5,38
83,5,38
84,5,38
85,5,38
86,5,38
87,5,38
88,5,38
89,5,38
90,5,38
91,5,38
92,5,38
93,5,38
94,5,38
95,5,38
96,5,38
97,5,38
98,5,38
99,5,38
100,5,38
101,5,38
102,5,38
103,5,38
104,5,38
105,5,38
106,5,38
107,5,38
108,5,38
109,5,38
110,5,38
111,5,38
112,5,38
113,5,38
114,5,38
115,5,38
116,5,38
117,5,38
118,5,38
119,5,38
120,5,38
121,5,38
122,5,38
123,5,38
124,5,38
125,0,33
126,0,33
127,0,33
128,0,38
129,0,40
130,0,40
131,4,34
132,4,34
133,0,38
134,0,38
135,0,38
136,0,38
137,0,38
138,0,38
139,0,38
140,0,38
141,0,25
142,0,23
143,0,23
