Turn,Happiness,Load
0,46,21
1,46,21
2,46,21
3,46,21
4,46,21
5,46,21
6,46,21
7,46,21
8,46,21
9,46,21
10,46,21
11,46,21
12,46,21
13,46,21
14,46,21
15,46,21
16,46,21
17,46,21
18,46,21
19,46,21
20,46,21
21,46,21
22,46,21
23,46,21
24,46,21
25,46,21
26,46,21
27,46,21
28,46,21
29,46,21
30,46,21
31,46,21
32,46,21
33,46,21
34,46,21
35,46,21
36,46,21
37,46,21
38,46,21
39,46,21
40,46,21
41,46,21
42,46,21
43,46,21
44,46,21
45,46,21
46,46,21
47,46,21
48,46,21
49,46,21
50,46,21
51,46,21
52,46,21
53,46,21
54,46,21
55,46,21
56,46,21
57,6,75
58,6,75
59,6,75
60,6,75
61,6,75
62,6,75
63,6,75
64,6,75
65,6,71
66,6,70
67,6,70
68,6,70
69,6,70
70,6,70
71,6,70
72,6,70
73,6,70
74,6,69
75,6,69
76,6,69
77,6,69
78,6,69
79,6,69
80,6,69
81,6,69
82,6,69
83,6,69
84,6,69
85,6,69
86,6,69
87,6,69
88,6,69
89,6,69
90,6,69
91,6,69
92,6,69
93,6,69
94,6,69
95,6,69
96,6,69
97,6,69
98,6,69
99,6,69
100,6,69
101,6,69
102,6,69
103,6,69
104,6,69
105,6,69
106,6,69
107,6,69
108,6,69
109,6,69
110,6,69
111,6,69
112,6,69
113,6,69
114,6,69
115,6,69
116,6,69
117,6,69
118,6,69
119,6,69
120,6,69
121,6,69
122,6,69
123,6,69
124,6,69
125,6,69
126,6,69
127,6,69
128,6,69
129,6,69
130,6,69
131,6,69
132,6,69
133,6,69
134,6,69
135,6,69
136,6,69
137,6,69
138,6,69
139,6,69
140,6,69
141,6,69
142,6,69
143,6,69
