Turn,Happiness,Load
0,426.0,150.0
1,426.0,150.0
2,426.0,150.0
3,426.0,150.0
4,426.0,150.0
5,426.0,150.0
6,426.0,150.0
7,426.0,150.0
8,426.0,150.0
9,426.0,150.0
10,426.0,150.0
11,426.0,150.0
12,426.0,150.0
13,426.0,150.0
14,426.0,150.0
15,426.0,150.0
16,426.0,150.0
17,426.0,150.0
18,426.0,150.0
19,426.0,150.0
20,426.0,150.0
21,426.0,150.0
22,426.0,150.0
23,426.0,150.0
24,426.0,150.0
25,426.0,150.0
26,426.0,150.0
27,426.0,150.0
28,426.0,150.0
29,426.0,150.0
30,426.0,150.0
31,426.0,150.0
32,426.0,150.0
33,426.0,150.0
34,426.0,150.0
35,426.0,150.0
36,426.0,150.0
37,426.0,150.0
38,426.0,150.0
39,426.0,150.0
40,426.0,150.0
41,426.0,150.0
42,426.0,150.0
43,426.0,150.0
44,426.0,150.0
45,426.0,150.0
46,426.0,150.0
47,426.0,150.0
48,426.0,150.0
49,426.0,150.0
50,426.0,150.0
51,426.0,150.0
52,426.0,150.0
53,426.0,150.0
54,426.0,150.0
55,426.0,150.0
56,426.0,150.0
57,426.0,150.0
58,426.0,150.0
59,426.0,150.0
60,426.0,150.0
61,426.0,150.0
62,426.0,150.0
63,426.0,150.0
64,426.0,150.0
65,426.0,150.0
66,426.0,150.0
67,426.0,150.0
68,426.0,150.0
69,426.0,150.0
70,426.0,150.0
71,426.0,150.0
72,426.0,150.0
73,426.0,150.0
74,426.0,150.0
75,426.0,150.0
76,426.0,150.0
77,426.0,150.0
78,426.0,150.0
79,426.0,150.0
80,426.0,150.0
81,426.0,150.0
82,426.0,150.0
83,426.0,150.0
84,426.0,150.0
85,426.0,150.0
86,426.0,150.0
87,426.0,150.0
88,426.0,150.0
89,426.0,150.0
90,426.0,150.0
91,426.0,150.0
92,426.0,150.0
93,426.0,150.0
94,426.0,150.0
95,426.0,150.0
96,426.0,150.0
97,426.0,150.0
98,426.0,150.0
99,426.0,150.0
100,426.0,150.0
101,426.0,150.0
102,426.0,150.0
103,426.0,150.0
104,426.0,150.0
105,426.0,150.0
106,426.0,150.0
107,426.0,150.0
108,426.0,150.0
109,426.0,150.0
110,426.0,150.0
111,426.0,150.0
112,426.0,150.0
113,426.0,150.0
114,426.0,150.0
115,426.0,150.0
116,426.0,150.0
117,426.0,150.0
118,426.0,150.0
119,426.0,150.0
120,426.0,150.0
121,426.0,150.0
122,426.0,150.0
123,426.0,150.0
124,426.0,150.0
125,426.0,150.0
126,426.0,150.0
127,426.0,150.0
128,426.0,150.0
129,426.0,150.0
130,426.0,150.0
131,426.0,150.0
132,426.0,150.0
133,426.0,150.0
134,426.0,150.0
135,426.0,150.0
136,426.0,150.0
137,426.0,150.0
138,426.0,150.0
139,426.0,150.0
140,426.0,150.0
141,426.0,150.0
142,426.0,150.0
143,426.0,150.0
