Turn,Happiness,Load
0,86,31
1,86,31
2,86,31
3,86,31
4,86,31
5,86,31
6,86,31
7,86,31
8,86,31
9,86,31
10,86,31
11,86,31
12,86,31
13,86,31
14,86,31
15,86,31
16,86,31
17,86,31
18,86,31
19,86,31
20,86,31
21,86,31
22,86,31
23,86,31
24,86,31
25,86,31
26,86,31
27,86,31
28,86,31
29,86,31
30,86,31
31,86,31
32,86,31
33,86,31
34,86,31
35,86,31
36,86,31
37,86,31
38,86,31
39,86,31
40,86,31
41,86,31
42,86,31
43,86,31
44,86,31
45,86,31
46,86,31
47,86,31
48,86,31
49,86,31
50,86,31
51,86,31
52,86,31
53,11,46
54,29,49
55,28,47
56,35,45
57,20,47
58,26,47
59,38,50
60,31,49
61,48,47
62,47,46
63,52,44
64,52,42
65,67,41
66,83,46
67,83,46
68,83,46
69,83,46
70,83,46
71,83,46
72,83,46
73,83,46
74,83,46
75,83,46
76,83,46
77,83,46
78,83,46
79,83,46
80,83,46
81,83,46
82,83,46
83,83,46
84,83,46
85,83,46
86,83,46
87,83,46
88,83,46
89,83,46
90,83,46
91,83,46
92,83,46
93,83,46
94,83,46
95,83,46
96,83,46
97,83,46
98,83,46
99,83,46
100,83,46
101,83,46
102,83,46
103,83,46
104,83,46
105,83,46
106,83,46
107,83,46
108,83,46
109,83,46
110,83,46
111,83,46
112,83,46
113,83,46
114,83,46
115,83,46
116,83,46
117,83,46
118,83,46
119,83,46
120,83,46
121,83,46
122,83,46
123,83,46
124,83,46
125,83,46
126,83,46
127,83,46
128,83,46
129,83,46
130,83,46
131,83,46
132,83,46
133,83,46
134,83,46
135,83,46
136,83,46
137,83,46
138,83,46
139,83,46
140,83,46
141,83,46
142,83,46
143,83,46
