Turn,Happiness,Load
0,413.0,151.0
1,422.0,151.0
2,449.0,161.0
3,479.0,194.0
4,479.0,209.0
5,467.0,236.0
6,447.0,236.0
7,447.0,226.0
8,456.0,222.0
9,448.0,222.0
10,448.0,222.0
11,448.0,222.0
12,448.0,222.0
13,448.0,222.0
14,448.0,222.0
15,448.0,222.0
16,448.0,222.0
17,448.0,222.0
18,448.0,222.0
19,448.0,222.0
20,448.0,222.0
21,448.0,222.0
22,448.0,222.0
23,448.0,222.0
24,448.0,222.0
25,448.0,222.0
26,448.0,222.0
27,448.0,222.0
28,448.0,222.0
29,448.0,222.0
30,448.0,222.0
31,448.0,222.0
32,448.0,222.0
33,448.0,222.0
34,448.0,222.0
35,448.0,222.0
36,448.0,222.0
37,448.0,222.0
38,448.0,222.0
39,448.0,222.0
40,448.0,222.0
41,448.0,222.0
42,448.0,222.0
43,448.0,222.0
44,448.0,222.0
45,448.0,222.0
46,448.0,222.0
47,448.0,222.0
48,448.0,222.0
49,448.0,222.0
50,448.0,222.0
51,448.0,222.0
52,448.0,231.0
53,377.0,225.0
54,383.0,226.0
55,399.0,229.0
56,375.0,229.0
57,375.0,229.0
58,375.0,229.0
59,375.0,229.0
60,375.0,229.0
61,375.0,229.0
62,375.0,229.0
63,375.0,229.0
64,375.0,229.0
65,375.0,229.0
66,375.0,229.0
67,375.0,229.0
68,375.0,229.0
69,375.0,229.0
70,375.0,229.0
71,375.0,229.0
72,375.0,229.0
73,375.0,229.0
74,375.0,229.0
75,375.0,229.0
76,375.0,229.0
77,375.0,229.0
78,375.0,229.0
79,375.0,229.0
80,375.0,229.0
81,375.0,229.0
82,375.0,229.0
83,375.0,229.0
84,375.0,229.0
85,375.0,229.0
86,375.0,229.0
87,375.0,229.0
88,375.0,229.0
89,375.0,229.0
90,375.0,229.0
91,375.0,229.0
92,375.0,229.0
93,375.0,229.0
94,375.0,229.0
95,375.0,229.0
96,375.0,229.0
97,375.0,229.0
98,375.0,229.0
99,375.0,229.0
100,375.0,229.0
101,375.0,229.0
102,375.0,229.0
103,375.0,229.0
104,375.0,229.0
105,375.0,229.0
106,375.0,229.0
107,375.0,229.0
108,375.0,229.0
109,375.0,229.0
110,375.0,229.0
111,375.0,229.0
112,375.0,229.0
113,375.0,229.0
114,375.0,229.0
115,375.0,229.0
116,375.0,229.0
117,375.0,229.0
118,375.0,229.0
119,375.0,229.0
120,375.0,229.0
121,375.0,229.0
122,375.0,229.0
123,375.0,229.0
124,375.0,229.0
125,375.0,229.0
126,375.0,229.0
127,375.0,229.0
128,375.0,229.0
129,375.0,229.0
130,375.0,229.0
131,375.0,229.0
132,375.0,229.0
133,375.0,229.0
134,375.0,229.0
135,375.0,229.0
136,375.0,229.0
137,375.0,229.0
138,375.0,229.0
139,375.0,229.0
140,375.0,229.0
141,375.0,229.0
142,375.0,229.0
143,375.0,229.0
