Turn,Happiness,Load
0,0.0,151.0
1,0.0,151.0
2,0.0,151.0
3,0.0,151.0
4,0.0,151.0
5,0.0,151.0
6,0.0,203.0
7,0.0,198.0
8,0.0,207.0
9,3.0,209.0
10,2.0,208.0
11,2.0,211.0
12,2.0,209.0
13,1.0,219.0
14,4.0,217.0
15,1.0,213.0
16,1.0,213.0
17,1.0,212.0
18,1.0,212.0
19,1.0,212.0
20,1.0,208.0
21,1.0,213.0
22,1.0,213.0
23,1.0,213.0
24,1.0,213.0
25,1.0,213.0
26,1.0,213.0
27,1.0,213.0
28,1.0,223.0
29,5.0,221.0
30,5.0,218.0
31,1.0,217.0
32,1.0,217.0
33,1.0,215.0
34,1.0,212.0
35,1.0,205.0
36,1.0,205.0
37,1.0,205.0
38,1.0,205.0
39,1.0,205.0
40,1.0,205.0
41,1.0,205.0
42,1.0,205.0
43,1.0,205.0
44,1.0,205.0
45,1.0,205.0
46,1.0,205.0
47,1.0,205.0
48,1.0,205.0
49,1.0,205.0
50,1.0,205.0
51,1.0,205.0
52,1.0,205.0
53,1.0,205.0
54,1.0,221.0
55,4.0,232.0
56,4.0,231.0
57,1.0,218.0
58,1.0,221.0
59,1.0,223.0
60,1.0,231.0
61,1.0,228.0
62,1.0,230.0
63,1.0,230.0
64,1.0,230.0
65,1.0,230.0
66,1.0,230.0
67,1.0,230.0
68,1.0,230.0
69,1.0,230.0
70,1.0,230.0
71,1.0,230.0
72,1.0,230.0
73,1.0,230.0
74,1.0,230.0
75,1.0,230.0
76,1.0,230.0
77,1.0,230.0
78,1.0,230.0
79,1.0,244.0
80,1.0,246.0
81,1.0,243.0
82,1.0,249.0
83,1.0,240.0
84,1.0,239.0
85,1.0,245.0
86,1.0,248.0
87,1.0,253.0
88,1.0,255.0
89,1.0,251.0
90,1.0,257.0
91,1.0,256.0
92,1.0,255.0
93,1.0,255.0
94,1.0,255.0
95,1.0,255.0
96,1.0,255.0
97,1.0,255.0
98,1.0,255.0
99,1.0,255.0
100,1.0,255.0
101,1.0,255.0
102,1.0,255.0
103,1.0,255.0
104,1.0,255.0
105,1.0,255.0
106,1.0,255.0
107,1.0,255.0
108,1.0,255.0
109,1.0,255.0
110,1.0,255.0
111,1.0,255.0
112,1.0,255.0
113,1.0,255.0
114,1.0,255.0
115,1.0,255.0
116,1.0,255.0
117,1.0,255.0
118,1.0,255.0
119,1.0,255.0
120,1.0,255.0
121,1.0,255.0
122,1.0,255.0
123,1.0,255.0
124,1.0,255.0
125,1.0,255.0
126,1.0,255.0
127,1.0,255.0
128,1.0,255.0
129,1.0,255.0
130,1.0,255.0
131,1.0,255.0
132,1.0,255.0
133,1.0,255.0
134,1.0,255.0
135,1.0,255.0
136,1.0,255.0
137,1.0,255.0
138,1.0,255.0
139,1.0,255.0
140,1.0,255.0
141,1.0,170.0
142,0.0,170.0
143,0.0,170.0
