Turn,Happiness,Load
0,0,44
1,0,44
2,0,44
3,0,44
4,0,44
5,0,71
6,0,71
7,0,71
8,0,71
9,0,71
10,0,71
11,0,71
12,0,71
13,0,71
14,0,71
15,0,71
16,0,71
17,0,71
18,0,71
19,0,71
20,0,71
21,0,71
22,0,71
23,0,70
24,0,70
25,0,70
26,0,70
27,0,70
28,0,70
29,0,70
30,0,70
31,0,70
32,0,70
33,0,70
34,0,70
35,0,70
36,0,70
37,0,70
38,0,70
39,0,70
40,0,70
41,0,70
42,0,70
43,0,70
44,0,70
45,0,70
46,0,70
47,0,70
48,0,70
49,0,70
50,0,70
51,0,70
52,0,70
53,0,70
54,0,70
55,0,70
56,0,70
57,0,70
58,0,70
59,0,70
60,0,70
61,0,70
62,0,70
63,0,70
64,0,70
65,0,70
66,0,70
67,0,70
68,0,70
69,0,70
70,0,70
71,0,70
72,0,70
73,0,70
74,0,70
75,0,70
76,0,70
77,0,70
78,0,70
79,0,70
80,0,70
81,0,70
82,0,70
83,0,70
84,0,70
85,0,70
86,0,70
87,0,70
88,0,70
89,0,70
90,0,70
91,0,70
92,0,70
93,0,70
94,0,70
95,0,70
96,0,70
97,0,70
98,0,70
99,0,70
100,0,70
101,0,70
102,0,70
103,0,70
104,0,70
105,0,70
106,0,70
107,0,70
108,0,70
109,0,70
110,0,70
111,0,70
112,0,70
113,0,70
114,0,70
115,0,70
116,0,70
117,0,70
118,0,70
119,0,70
120,0,70
121,0,70
122,0,70
123,0,70
124,0,70
125,0,70
126,0,70
127,0,70
128,0,70
129,0,70
130,0,70
131,0,70
132,0,70
133,0,70
134,0,70
135,0,70
136,0,70
137,0,70
138,0,70
139,0,70
140,0,70
141,0,70
142,0,70
143,0,70
