Turn,Happiness,Load
0,384.0,153.0
1,350.0,153.0
2,340.0,156.0
3,340.0,156.0
4,340.0,156.0
5,340.0,156.0
6,340.0,156.0
7,340.0,156.0
8,340.0,156.0
9,340.0,156.0
10,340.0,156.0
11,340.0,156.0
12,340.0,156.0
13,340.0,156.0
14,340.0,156.0
15,340.0,156.0
16,340.0,156.0
17,340.0,156.0
18,340.0,156.0
19,340.0,156.0
20,340.0,156.0
21,340.0,156.0
22,340.0,156.0
23,340.0,156.0
24,340.0,156.0
25,340.0,156.0
26,340.0,156.0
27,340.0,156.0
28,340.0,156.0
29,340.0,156.0
30,340.0,156.0
31,340.0,156.0
32,340.0,156.0
33,340.0,156.0
34,340.0,156.0
35,340.0,156.0
36,340.0,156.0
37,340.0,156.0
38,340.0,156.0
39,340.0,156.0
40,340.0,156.0
41,340.0,156.0
42,340.0,156.0
43,340.0,156.0
44,340.0,156.0
45,340.0,156.0
46,340.0,156.0
47,340.0,156.0
48,340.0,156.0
49,340.0,156.0
50,340.0,156.0
51,340.0,156.0
52,340.0,156.0
53,340.0,156.0
54,340.0,156.0
55,340.0,156.0
56,340.0,156.0
57,340.0,156.0
58,340.0,156.0
59,340.0,156.0
60,340.0,156.0
61,340.0,156.0
62,340.0,156.0
63,340.0,156.0
64,340.0,156.0
65,340.0,156.0
66,340.0,156.0
67,340.0,156.0
68,340.0,156.0
69,340.0,156.0
70,340.0,156.0
71,340.0,156.0
72,340.0,156.0
73,340.0,156.0
74,340.0,156.0
75,340.0,156.0
76,340.0,156.0
77,340.0,156.0
78,340.0,156.0
79,340.0,156.0
80,340.0,156.0
81,340.0,156.0
82,340.0,156.0
83,340.0,156.0
84,340.0,156.0
85,340.0,156.0
86,340.0,156.0
87,340.0,156.0
88,340.0,156.0
89,340.0,156.0
90,340.0,156.0
91,340.0,156.0
92,340.0,156.0
93,340.0,156.0
94,340.0,156.0
95,340.0,156.0
96,340.0,156.0
97,340.0,156.0
98,340.0,156.0
99,340.0,156.0
100,340.0,156.0
101,340.0,156.0
102,340.0,156.0
103,340.0,156.0
104,340.0,156.0
105,340.0,156.0
106,340.0,156.0
107,340.0,156.0
108,340.0,156.0
109,340.0,156.0
110,340.0,156.0
111,340.0,156.0
112,340.0,156.0
113,340.0,156.0
114,340.0,156.0
115,340.0,156.0
116,340.0,156.0
117,340.0,156.0
118,340.0,156.0
119,340.0,156.0
120,340.0,156.0
121,340.0,156.0
122,340.0,156.0
123,340.0,156.0
124,340.0,156.0
125,340.0,156.0
126,340.0,156.0
127,340.0,156.0
128,340.0,156.0
129,340.0,156.0
130,340.0,156.0
131,340.0,156.0
132,340.0,156.0
133,340.0,156.0
134,340.0,156.0
135,340.0,156.0
136,340.0,156.0
137,340.0,156.0
138,340.0,156.0
139,340.0,156.0
140,340.0,156.0
141,340.0,156.0
142,340.0,156.0
143,340.0,156.0
