Turn,Happiness,Load
0,87,28
1,87,28
2,50,31
3,33,38
4,35,43
5,24,46
6,35,46
7,35,46
8,35,46
9,35,46
10,35,46
11,35,46
12,35,46
13,35,46
14,35,46
15,35,46
16,35,46
17,35,46
18,35,46
19,35,46
20,35,46
21,35,46
22,35,46
23,35,46
24,35,46
25,35,46
26,35,46
27,35,46
28,35,46
29,35,46
30,35,46
31,35,46
32,35,46
33,35,46
34,35,46
35,35,46
36,35,46
37,35,46
38,35,46
39,35,46
40,35,46
41,35,46
42,35,46
43,35,46
44,35,46
45,35,46
46,35,46
47,9,46
48,9,46
49,9,46
50,9,46
51,9,46
52,20,45
53,22,46
54,23,47
55,39,45
56,39,47
57,35,45
58,37,43
59,46,41
60,46,41
61,46,41
62,46,41
63,46,41
64,46,41
65,46,41
66,46,41
67,46,41
68,46,41
69,46,41
70,46,41
71,46,41
72,46,41
73,46,41
74,46,41
75,46,41
76,46,41
77,46,41
78,46,41
79,46,41
80,46,41
81,46,41
82,46,41
83,46,41
84,46,41
85,46,41
86,46,41
87,46,41
88,46,41
89,46,41
90,46,41
91,46,41
92,46,41
93,46,41
94,46,41
95,46,41
96,46,41
97,46,41
98,46,41
99,46,41
100,46,41
101,46,41
102,46,41
103,46,41
104,46,41
105,46,41
106,46,41
107,46,41
108,46,41
109,46,41
110,46,41
111,46,41
112,46,41
113,46,41
114,46,41
115,46,41
116,46,41
117,46,41
118,46,41
119,46,41
120,46,41
121,46,41
122,46,41
123,46,41
124,46,41
125,46,41
126,46,41
127,46,41
128,46,41
129,46,41
130,46,41
131,46,41
132,46,41
133,46,41
134,46,41
135,46,41
136,46,41
137,46,41
138,46,41
139,46,41
140,46,41
141,46,41
142,46,41
143,46,41
