Turn,Happiness,Load
0,390.0,155.0
1,444.0,155.0
2,475.0,161.0
3,475.0,185.0
4,478.0,207.0
5,475.0,207.0
6,475.0,207.0
7,475.0,207.0
8,475.0,207.0
9,475.0,207.0
10,475.0,207.0
11,475.0,207.0
12,475.0,207.0
13,475.0,207.0
14,475.0,207.0
15,475.0,207.0
16,475.0,207.0
17,475.0,207.0
18,475.0,207.0
19,475.0,207.0
20,475.0,207.0
21,475.0,207.0
22,475.0,207.0
23,475.0,207.0
24,475.0,207.0
25,475.0,207.0
26,475.0,207.0
27,475.0,207.0
28,475.0,207.0
29,475.0,207.0
30,475.0,207.0
31,475.0,207.0
32,475.0,207.0
33,475.0,207.0
34,475.0,207.0
35,475.0,207.0
36,475.0,207.0
37,475.0,207.0
38,475.0,207.0
39,475.0,207.0
40,475.0,207.0
41,475.0,207.0
42,475.0,207.0
43,475.0,207.0
44,475.0,207.0
45,475.0,207.0
46,475.0,207.0
47,475.0,207.0
48,475.0,220.0
49,424.0,225.0
50,369.0,225.0
51,380.0,218.0
52,397.0,219.0
53,393.0,219.0
54,393.0,219.0
55,393.0,219.0
56,393.0,219.0
57,393.0,219.0
58,393.0,219.0
59,393.0,219.0
60,393.0,219.0
61,393.0,219.0
62,393.0,219.0
63,393.0,219.0
64,393.0,219.0
65,393.0,219.0
66,393.0,219.0
67,393.0,219.0
68,393.0,219.0
69,393.0,219.0
70,393.0,219.0
71,393.0,219.0
72,393.0,219.0
73,393.0,219.0
74,393.0,219.0
75,393.0,219.0
76,393.0,219.0
77,393.0,219.0
78,393.0,219.0
79,393.0,219.0
80,393.0,219.0
81,393.0,219.0
82,393.0,219.0
83,393.0,219.0
84,393.0,219.0
85,393.0,219.0
86,393.0,219.0
87,393.0,219.0
88,393.0,219.0
89,393.0,219.0
90,393.0,219.0
91,393.0,219.0
92,393.0,219.0
93,393.0,219.0
94,393.0,219.0
95,393.0,219.0
96,393.0,219.0
97,393.0,219.0
98,393.0,219.0
99,393.0,219.0
100,393.0,219.0
101,393.0,219.0
102,393.0,219.0
103,393.0,219.0
104,393.0,219.0
105,393.0,219.0
106,393.0,219.0
107,393.0,219.0
108,393.0,219.0
109,393.0,219.0
110,393.0,219.0
111,393.0,219.0
112,393.0,219.0
113,393.0,219.0
114,393.0,219.0
115,393.0,219.0
116,393.0,219.0
117,393.0,219.0
118,393.0,219.0
119,393.0,219.0
120,393.0,219.0
121,393.0,219.0
122,393.0,219.0
123,393.0,219.0
124,393.0,219.0
125,393.0,219.0
126,393.0,219.0
127,393.0,219.0
128,393.0,219.0
129,393.0,219.0
130,393.0,219.0
131,393.0,219.0
132,393.0,219.0
133,393.0,219.0
134,393.0,219.0
135,393.0,219.0
136,393.0,219.0
137,393.0,219.0
138,393.0,219.0
139,393.0,219.0
140,393.0,219.0
141,393.0,219.0
142,393.0,219.0
143,393.0,219.0
