Turn,Happiness,Load
0,0.0,150.0
1,0.0,150.0
2,0.0,150.0
3,0.0,150.0
4,0.0,150.0
5,0.0,150.0
6,0.0,150.0
7,0.0,150.0
8,0.0,150.0
9,0.0,150.0
10,0.0,150.0
11,0.0,150.0
12,0.0,150.0
13,0.0,150.0
14,0.0,150.0
15,0.0,150.0
16,0.0,150.0
17,0.0,150.0
18,0.0,150.0
19,0.0,150.0
20,0.0,150.0
21,0.0,150.0
22,0.0,150.0
23,0.0,150.0
24,0.0,150.0
25,0.0,150.0
26,0.0,150.0
27,0.0,150.0
28,0.0,150.0
29,0.0,150.0
30,0.0,150.0
31,0.0,150.0
32,0.0,150.0
33,0.0,150.0
34,0.0,150.0
35,0.0,150.0
36,0.0,150.0
37,0.0,150.0
38,0.0,150.0
39,0.0,150.0
40,0.0,150.0
41,0.0,150.0
42,0.0,150.0
43,0.0,150.0
44,0.0,150.0
45,0.0,150.0
46,0.0,150.0
47,0.0,150.0
48,0.0,150.0
49,0.0,150.0
50,0.0,150.0
51,0.0,150.0
52,0.0,150.0
53,0.0,150.0
54,0.0,150.0
55,0.0,150.0
56,0.0,150.0
57,0.0,150.0
58,0.0,150.0
59,0.0,150.0
60,0.0,150.0
61,0.0,150.0
62,0.0,150.0
63,0.0,150.0
64,0.0,150.0
65,0.0,150.0
66,0.0,150.0
67,0.0,150.0
68,0.0,150.0
69,0.0,150.0
70,0.0,150.0
71,0.0,150.0
72,0.0,150.0
73,0.0,150.0
74,0.0,150.0
75,0.0,150.0
76,0.0,150.0
77,0.0,150.0
78,0.0,150.0
79,0.0,150.0
80,0.0,150.0
81,0.0,150.0
82,0.0,150.0
83,0.0,150.0
84,0.0,150.0
85,0.0,150.0
86,0.0,150.0
87,0.0,150.0
88,0.0,150.0
89,0.0,150.0
90,0.0,150.0
91,0.0,184.0
92,6.0,184.0
93,6.0,184.0
94,6.0,184.0
95,6.0,184.0
96,6.0,184.0
97,6.0,184.0
98,6.0,184.0
99,6.0,184.0
100,6.0,184.0
101,6.0,184.0
102,6.0,184.0
103,6.0,184.0
104,6.0,184.0
105,6.0,184.0
106,6.0,184.0
107,6.0,184.0
108,6.0,184.0
109,6.0,184.0
110,6.0,191.0
111,14.0,191.0
112,14.0,191.0
113,14.0,191.0
114,14.0,191.0
115,14.0,191.0
116,14.0,191.0
117,14.0,191.0
118,14.0,191.0
119,14.0,191.0
120,14.0,191.0
121,14.0,191.0
122,14.0,191.0
123,14.0,191.0
124,14.0,191.0
125,14.0,191.0
126,14.0,191.0
127,14.0,191.0
128,14.0,191.0
129,14.0,191.0
130,14.0,191.0
131,14.0,191.0
132,14.0,191.0
133,14.0,227.0
134,5.0,221.0
135,0.0,228.0
136,7.0,228.0
137,7.0,228.0
138,7.0,228.0
139,7.0,209.0
140,4.0,190.0
141,0.0,190.0
142,0.0,190.0
143,0.0,190.0
