Turn,Happiness,Load
0,0.0,155.0
1,0.0,155.0
2,0.0,155.0
3,0.0,155.0
4,0.0,155.0
5,0.0,155.0
6,0.0,155.0
7,0.0,155.0
8,0.0,155.0
9,0.0,155.0
10,0.0,155.0
11,0.0,155.0
12,0.0,155.0
13,0.0,155.0
14,0.0,188.0
15,8.0,188.0
16,8.0,188.0
17,8.0,188.0
18,8.0,188.0
19,8.0,188.0
20,8.0,188.0
21,8.0,191.0
22,12.0,191.0
23,12.0,191.0
24,12.0,191.0
25,12.0,191.0
26,12.0,191.0
27,12.0,191.0
28,12.0,191.0
29,12.0,191.0
30,12.0,191.0
31,12.0,191.0
32,12.0,191.0
33,12.0,191.0
34,12.0,191.0
35,12.0,191.0
36,12.0,191.0
37,12.0,191.0
38,12.0,191.0
39,12.0,191.0
40,12.0,191.0
41,12.0,191.0
42,12.0,191.0
43,12.0,191.0
44,12.0,191.0
45,12.0,191.0
46,12.0,191.0
47,12.0,191.0
48,12.0,191.0
49,12.0,191.0
50,12.0,191.0
51,12.0,191.0
52,12.0,191.0
53,12.0,191.0
54,12.0,191.0
55,12.0,191.0
56,12.0,191.0
57,12.0,191.0
58,12.0,191.0
59,12.0,191.0
60,12.0,191.0
61,12.0,191.0
62,12.0,191.0
63,12.0,191.0
64,12.0,191.0
65,12.0,191.0
66,12.0,191.0
67,12.0,191.0
68,12.0,191.0
69,12.0,191.0
70,12.0,191.0
71,12.0,191.0
72,12.0,198.0
73,21.0,198.0
74,21.0,198.0
75,21.0,198.0
76,21.0,198.0
77,21.0,198.0
78,21.0,198.0
79,21.0,198.0
80,21.0,198.0
81,21.0,198.0
82,21.0,198.0
83,21.0,198.0
84,21.0,198.0
85,21.0,198.0
86,21.0,198.0
87,21.0,198.0
88,21.0,198.0
89,21.0,198.0
90,21.0,198.0
91,21.0,198.0
92,21.0,198.0
93,21.0,198.0
94,21.0,198.0
95,21.0,198.0
96,21.0,198.0
97,21.0,198.0
98,21.0,198.0
99,21.0,198.0
100,21.0,198.0
101,21.0,198.0
102,21.0,198.0
103,21.0,198.0
104,21.0,198.0
105,21.0,198.0
106,21.0,198.0
107,21.0,198.0
108,21.0,198.0
109,21.0,198.0
110,21.0,198.0
111,21.0,198.0
112,21.0,198.0
113,21.0,198.0
114,21.0,198.0
115,21.0,198.0
116,21.0,198.0
117,21.0,198.0
118,21.0,198.0
119,21.0,198.0
120,21.0,198.0
121,21.0,198.0
122,21.0,198.0
123,21.0,198.0
124,21.0,203.0
125,27.0,232.0
126,15.0,238.0
127,29.0,227.0
128,10.0,218.0
129,0.0,218.0
130,0.0,237.0
131,17.0,237.0
132,17.0,245.0
133,20.0,245.0
134,20.0,245.0
135,20.0,245.0
136,20.0,245.0
137,20.0,249.0
138,24.0,249.0
139,24.0,223.0
140,20.0,195.0
141,12.0,159.0
142,0.0,159.0
143,0.0,159.0
