Turn,Happiness,Load
0,60,33
1,60,33
2,60,33
3,60,33
4,60,33
5,60,33
6,60,33
7,60,33
8,60,33
9,60,33
10,60,33
11,60,33
12,60,33
13,60,33
14,60,33
15,60,33
16,60,33
17,60,33
18,60,33
19,60,33
20,60,33
21,60,33
22,60,33
23,60,33
24,60,33
25,60,33
26,60,33
27,60,33
28,60,33
29,60,33
30,60,33
31,60,33
32,60,33
33,60,33
34,60,33
35,60,33
36,60,33
37,60,33
38,60,33
39,60,33
40,60,33
41,60,33
42,60,33
43,60,33
44,60,33
45,60,33
46,60,33
47,60,33
48,60,33
49,60,33
50,60,33
51,60,33
52,60,33
53,60,33
54,60,33
55,60,33
56,60,33
57,60,33
58,60,33
59,60,33
60,60,33
61,60,33
62,60,33
63,60,33
64,60,33
65,60,33
66,60,33
67,60,33
68,60,33
69,60,33
70,60,33
71,60,33
72,60,33
73,60,33
74,60,33
75,60,33
76,60,33
77,60,33
78,60,33
79,60,33
80,60,33
81,60,33
82,60,33
83,60,33
84,60,33
85,60,33
86,60,33
87,60,33
88,60,33
89,60,33
90,60,33
91,60,33
92,60,33
93,60,33
94,60,33
95,60,33
96,60,33
97,60,33
98,60,33
99,60,33
100,60,33
101,60,33
102,60,33
103,60,33
104,60,33
105,60,33
106,60,33
107,60,33
108,60,33
109,60,33
110,60,33
111,60,33
112,60,33
113,60,33
114,60,33
115,60,33
116,60,33
117,60,33
118,60,33
119,60,33
120,60,33
121,60,33
122,60,33
123,60,33
124,60,33
125,60,33
126,60,33
127,60,33
128,60,33
129,60,33
130,60,33
131,60,33
132,60,33
133,60,33
134,60,33
135,60,33
136,60,33
137,60,33
138,60,33
139,60,33
140,60,33
141,60,33
142,60,33
143,60,33
