Turn,Happiness,Load
0,393.0,153.0
1,393.0,153.0
2,393.0,153.0
3,393.0,153.0
4,393.0,153.0
5,393.0,153.0
6,393.0,153.0
7,393.0,153.0
8,393.0,153.0
9,393.0,153.0
10,393.0,153.0
11,393.0,153.0
12,393.0,153.0
13,393.0,153.0
14,393.0,153.0
15,393.0,153.0
16,393.0,153.0
17,393.0,153.0
18,393.0,153.0
19,393.0,153.0
20,393.0,153.0
21,393.0,153.0
22,393.0,153.0
23,393.0,153.0
24,393.0,153.0
25,393.0,153.0
26,393.0,153.0
27,393.0,153.0
28,393.0,153.0
29,393.0,153.0
30,393.0,153.0
31,393.0,153.0
32,393.0,153.0
33,393.0,153.0
34,393.0,153.0
35,393.0,153.0
36,393.0,153.0
37,393.0,153.0
38,393.0,153.0
39,393.0,153.0
40,393.0,153.0
41,393.0,153.0
42,393.0,153.0
43,393.0,153.0
44,393.0,153.0
45,393.0,153.0
46,393.0,153.0
47,393.0,153.0
48,393.0,153.0
49,393.0,153.0
50,393.0,153.0
51,393.0,153.0
52,393.0,153.0
53,393.0,153.0
54,393.0,153.0
55,393.0,153.0
56,393.0,153.0
57,393.0,153.0
58,393.0,153.0
59,393.0,153.0
60,393.0,153.0
61,393.0,153.0
62,393.0,153.0
63,393.0,153.0
64,393.0,153.0
65,393.0,153.0
66,393.0,153.0
67,393.0,153.0
68,393.0,153.0
69,393.0,153.0
70,393.0,153.0
71,393.0,153.0
72,393.0,153.0
73,393.0,153.0
74,393.0,153.0
75,393.0,153.0
76,393.0,153.0
77,393.0,153.0
78,393.0,153.0
79,393.0,153.0
80,393.0,153.0
81,393.0,153.0
82,393.0,153.0
83,393.0,153.0
84,393.0,153.0
85,393.0,153.0
86,393.0,153.0
87,393.0,153.0
88,393.0,153.0
89,393.0,153.0
90,393.0,153.0
91,393.0,153.0
92,393.0,153.0
93,393.0,153.0
94,393.0,153.0
95,393.0,153.0
96,393.0,153.0
97,393.0,153.0
98,393.0,153.0
99,393.0,153.0
100,393.0,153.0
101,393.0,153.0
102,393.0,153.0
103,393.0,153.0
104,393.0,153.0
105,393.0,153.0
106,393.0,153.0
107,393.0,153.0
108,393.0,153.0
109,393.0,153.0
110,393.0,153.0
111,393.0,153.0
112,393.0,153.0
113,393.0,153.0
114,393.0,153.0
115,393.0,153.0
116,393.0,153.0
117,393.0,153.0
118,393.0,153.0
119,393.0,153.0
120,393.0,153.0
121,393.0,153.0
122,393.0,153.0
123,393.0,153.0
124,393.0,153.0
125,393.0,153.0
126,393.0,153.0
127,393.0,153.0
128,393.0,153.0
129,393.0,153.0
130,393.0,153.0
131,393.0,153.0
132,393.0,153.0
133,393.0,153.0
134,393.0,153.0
135,393.0,153.0
136,393.0,153.0
137,393.0,153.0
138,393.0,153.0
139,393.0,153.0
140,393.0,153.0
141,393.0,153.0
142,393.0,153.0
143,393.0,153.0
