Turn,Happiness,Load
0,0,60
1,0,60
2,0,60
3,0,70
4,0,79
5,0,85
6,2,88
7,3,81
8,3,81
9,4,89
10,5,84
11,4,80
12,7,83
13,17,80
14,10,81
15,10,81
16,31,79
17,31,79
18,27,77
19,27,77
20,34,88
21,42,82
22,51,83
23,42,77
24,41,78
25,41,74
26,41,83
27,50,75
28,53,85
29,59,79
30,76,84
31,77,83
32,72,85
33,73,86
34,73,80
35,68,80
36,75,82
37,73,81
38,93,83
39,91,84
40,95,83
41,103,80
42,115,82
43,101,77
44,107,85
45,107,85
46,117,81
47,123,84
48,136,83
49,142,89
50,149,85
51,135,77
52,135,82
53,145,80
54,145,80
55,143,80
56,153,81
57,127,79
58,126,80
59,127,82
60,142,82
61,157,83
62,148,83
63,160,84
64,161,78
65,162,79
66,153,80
67,156,83
68,156,83
69,159,81
70,173,79
71,168,83
72,177,82
73,163,86
74,166,79
75,190,84
76,190,82
77,161,83
78,149,81
79,192,78
80,174,83
81,182,78
82,180,77
83,189,85
84,196,78
85,156,73
86,155,76
87,152,77
88,151,80
89,178,80
90,192,85
91,191,81
92,156,84
93,154,85
94,160,83
95,165,77
96,139,83
97,141,83
98,114,78
99,124,83
100,121,83
101,134,82
102,138,83
103,127,83
104,146,79
105,146,79
106,95,79
107,125,85
108,145,82
109,161,79
110,161,80
111,119,77
112,130,80
113,130,80
114,130,84
115,136,77
116,144,79
117,141,89
118,134,79
119,121,82
120,113,77
121,89,77
122,97,81
123,97,91
124,127,80
125,128,81
126,94,81
127,94,83
128,110,80
129,90,80
130,100,78
131,137,80
132,128,83
133,123,84
134,128,88
135,128,86
136,139,84
137,97,82
138,107,83
139,102,88
140,100,77
141,100,77
142,100,77
143,100,77
