Turn,Happiness,Load
0,0.0,253.0
1,0.0,253.0
2,0.0,253.0
3,0.0,298.0
4,3.0,387.0
5,43.0,416.0
6,388.0,424.0
7,444.0,411.0
8,439.0,414.0
9,441.0,390.0
10,431.0,390.0
11,443.0,398.0
12,430.0,381.0
13,457.0,387.0
14,454.0,399.0
15,456.0,416.0
16,460.0,403.0
17,449.0,406.0
18,448.0,401.0
19,474.0,408.0
20,480.0,431.0
21,479.0,409.0
22,485.0,413.0
23,499.0,415.0
24,505.0,415.0
25,499.0,417.0
26,495.0,408.0
27,508.0,419.0
28,507.0,404.0
29,499.0,405.0
30,503.0,390.0
31,492.0,409.0
32,491.0,401.0
33,495.0,416.0
34,510.0,410.0
35,495.0,414.0
36,499.0,416.0
37,488.0,400.0
38,519.0,420.0
39,508.0,411.0
40,482.0,414.0
41,466.0,414.0
42,461.0,421.0
43,448.0,418.0
44,420.0,411.0
45,417.0,415.0
46,397.0,409.0
47,396.0,415.0
48,402.0,421.0
49,405.0,423.0
50,355.0,421.0
51,406.0,450.0
52,386.0,414.0
53,358.0,430.0
54,337.0,411.0
55,371.0,433.0
56,351.0,426.0
57,360.0,429.0
58,354.0,417.0
59,353.0,424.0
60,358.0,417.0
61,370.0,407.0
62,384.0,418.0
63,363.0,388.0
64,394.0,409.0
65,432.0,414.0
66,431.0,412.0
67,435.0,409.0
68,447.0,425.0
69,471.0,413.0
70,449.0,415.0
71,461.0,417.0
72,462.0,424.0
73,466.0,408.0
74,490.0,430.0
75,489.0,435.0
76,495.0,414.0
77,486.0,388.0
78,525.0,397.0
79,539.0,383.0
80,481.0,413.0
81,497.0,416.0
82,509.0,418.0
83,547.0,408.0
84,550.0,411.0
85,539.0,409.0
86,535.0,410.0
87,539.0,425.0
88,508.0,416.0
89,552.0,392.0
90,550.0,413.0
91,547.0,422.0
92,558.0,425.0
93,583.0,421.0
94,513.0,416.0
95,502.0,403.0
96,501.0,406.0
97,501.0,417.0
98,604.0,399.0
99,591.0,400.0
100,515.0,416.0
101,493.0,413.0
102,474.0,408.0
103,481.0,402.0
104,443.0,426.0
105,561.0,438.0
106,524.0,421.0
107,520.0,432.0
108,567.0,403.0
109,471.0,422.0
110,470.0,422.0
111,463.0,415.0
112,461.0,422.0
113,538.0,414.0
114,546.0,408.0
115,544.0,408.0
116,552.0,424.0
117,487.0,420.0
118,485.0,387.0
119,485.0,399.0
120,506.0,411.0
121,497.0,401.0
122,501.0,402.0
123,475.0,395.0
124,484.0,403.0
125,459.0,412.0
126,453.0,391.0
127,474.0,399.0
128,496.0,410.0
129,473.0,402.0
130,461.0,394.0
131,454.0,399.0
132,448.0,401.0
133,449.0,381.0
134,531.0,390.0
135,446.0,392.0
136,453.0,403.0
137,480.0,405.0
138,458.0,411.0
139,472.0,406.0
140,468.0,406.0
141,468.0,406.0
142,468.0,406.0
143,468.0,406.0
