Turn,Happiness,Load
0,0,52
1,0,52
2,0,52
3,4,74
4,1,70
5,11,78
6,11,83
7,8,84
8,3,81
9,6,78
10,1,82
11,5,87
12,3,87
13,2,80
14,3,92
15,2,85
16,0,92
17,0,87
18,0,86
19,0,81
20,0,86
21,0,86
22,0,75
23,0,84
24,0,75
25,0,81
26,0,84
27,0,82
28,0,86
29,0,88
30,0,86
31,0,86
32,0,81
33,0,82
34,0,80
35,0,78
36,0,80
37,0,86
38,0,85
39,0,83
40,0,80
41,0,79
42,0,75
43,0,77
44,0,75
45,0,75
46,1,85
47,0,89
48,4,88
49,0,78
50,2,86
51,2,84
52,0,81
53,2,84
54,8,82
55,8,87
56,2,81
57,3,86
58,2,83
59,2,91
60,7,81
61,8,75
62,13,80
63,11,75
64,15,81
65,21,85
66,19,84
67,26,82
68,20,77
69,20,80
70,38,86
71,36,79
72,42,87
73,58,81
74,67,78
75,72,79
76,31,79
77,37,88
78,36,82
79,51,81
80,51,81
81,51,81
82,133,88
83,140,83
84,162,83
85,188,86
86,166,86
87,190,91
88,159,90
89,152,80
90,152,80
91,152,80
92,238,76
93,205,80
94,216,77
95,262,77
96,157,64
97,178,79
98,196,80
99,210,82
100,154,81
101,113,79
102,113,80
103,119,76
104,97,82
105,96,79
106,108,80
107,117,82
108,95,78
109,83,79
110,92,84
111,60,84
112,12,83
113,29,81
114,12,78
115,0,73
116,18,79
117,12,86
118,36,84
119,36,85
120,24,81
121,24,80
122,25,79
123,12,79
124,18,80
125,12,77
126,12,81
127,23,81
128,0,75
129,0,80
130,11,78
131,11,82
132,12,80
133,13,89
134,17,81
135,20,82
136,6,77
137,10,80
138,8,82
139,12,77
140,0,75
141,0,75
142,0,75
143,0,75
