Turn,Happiness,Load
0,11.0,252.0
1,11.0,252.0
2,11.0,262.0
3,15.0,326.0
4,30.0,395.0
5,398.0,419.0
6,425.0,405.0
7,413.0,410.0
8,411.0,426.0
9,431.0,401.0
10,410.0,400.0
11,395.0,400.0
12,398.0,414.0
13,403.0,415.0
14,469.0,440.0
15,460.0,430.0
16,468.0,419.0
17,477.0,416.0
18,479.0,411.0
19,490.0,402.0
20,492.0,394.0
21,492.0,400.0
22,500.0,404.0
23,507.0,408.0
24,507.0,402.0
25,503.0,379.0
26,489.0,396.0
27,498.0,400.0
28,490.0,396.0
29,500.0,409.0
30,495.0,408.0
31,481.0,404.0
32,480.0,416.0
33,488.0,395.0
34,487.0,405.0
35,488.0,428.0
36,445.0,418.0
37,441.0,410.0
38,436.0,407.0
39,443.0,403.0
40,438.0,417.0
41,437.0,437.0
42,431.0,429.0
43,427.0,437.0
44,406.0,426.0
45,398.0,416.0
46,394.0,431.0
47,376.0,419.0
48,343.0,430.0
49,348.0,428.0
50,347.0,416.0
51,333.0,386.0
52,297.0,420.0
53,282.0,417.0
54,274.0,413.0
55,229.0,407.0
56,228.0,423.0
57,237.0,436.0
58,242.0,409.0
59,254.0,434.0
60,253.0,407.0
61,259.0,417.0
62,248.0,426.0
63,259.0,429.0
64,295.0,417.0
65,310.0,400.0
66,284.0,404.0
67,287.0,408.0
68,297.0,435.0
69,323.0,416.0
70,338.0,404.0
71,316.0,423.0
72,339.0,407.0
73,369.0,406.0
74,403.0,426.0
75,383.0,419.0
76,393.0,414.0
77,396.0,427.0
78,401.0,416.0
79,390.0,432.0
80,399.0,411.0
81,429.0,397.0
82,484.0,419.0
83,475.0,423.0
84,463.0,416.0
85,446.0,402.0
86,452.0,417.0
87,463.0,384.0
88,457.0,403.0
89,444.0,394.0
90,449.0,381.0
91,452.0,398.0
92,465.0,383.0
93,451.0,388.0
94,463.0,422.0
95,430.0,429.0
96,412.0,420.0
97,387.0,395.0
98,395.0,410.0
99,411.0,401.0
100,401.0,359.0
101,361.0,401.0
102,376.0,396.0
103,364.0,407.0
104,372.0,415.0
105,326.0,417.0
106,340.0,425.0
107,335.0,408.0
108,324.0,403.0
109,296.0,399.0
110,286.0,395.0
111,240.0,405.0
112,248.0,417.0
113,233.0,414.0
114,247.0,365.0
115,220.0,377.0
116,203.0,393.0
117,208.0,404.0
118,217.0,413.0
119,212.0,393.0
120,177.0,393.0
121,187.0,393.0
122,224.0,411.0
123,236.0,407.0
124,203.0,394.0
125,207.0,401.0
126,216.0,396.0
127,186.0,402.0
128,167.0,403.0
129,184.0,422.0
130,202.0,420.0
131,241.0,407.0
132,182.0,411.0
133,172.0,411.0
134,175.0,405.0
135,163.0,416.0
136,203.0,400.0
137,184.0,388.0
138,175.0,394.0
139,189.0,352.0
140,139.0,309.0
141,95.0,263.0
142,58.0,252.0
143,57.0,252.0
