Turn,Happiness,Load
0,0,16
1,0,16
2,0,16
3,0,16
4,0,16
5,0,16
6,0,16
7,0,16
8,0,16
9,0,16
10,0,16
11,0,16
12,1,21
13,1,21
14,1,21
15,1,21
16,1,21
17,1,21
18,1,21
19,1,21
20,1,21
21,1,21
22,1,21
23,1,21
24,1,21
25,1,21
26,1,21
27,1,21
28,1,21
29,1,21
30,1,21
31,1,21
32,1,21
33,1,21
34,1,21
35,1,21
36,1,21
37,1,21
38,1,21
39,1,21
40,1,21
41,1,21
42,1,21
43,1,21
44,1,21
45,1,21
46,1,21
47,1,21
48,1,21
49,1,21
50,1,21
51,1,21
52,1,21
53,1,21
54,1,21
55,1,21
56,1,21
57,1,21
58,1,21
59,1,21
60,1,21
61,1,21
62,1,21
63,1,21
64,1,21
65,1,21
66,1,21
67,1,21
68,1,21
69,1,21
70,1,21
71,1,21
72,1,21
73,1,21
74,1,21
75,1,21
76,1,21
77,1,21
78,1,21
79,1,21
80,1,21
81,1,21
82,1,21
83,1,21
84,1,21
85,1,21
86,1,21
87,1,21
88,1,21
89,1,21
90,1,21
91,1,21
92,1,21
93,1,21
94,1,21
95,1,21
96,1,21
97,1,21
98,1,21
99,1,21
100,1,21
101,1,21
102,1,21
103,1,21
104,1,21
105,1,21
106,1,21
107,1,21
108,1,21
109,1,21
110,1,21
111,1,21
112,1,21
113,1,21
114,1,21
115,1,21
116,1,21
117,1,21
118,1,21
119,1,21
120,1,21
121,1,21
122,1,21
123,1,21
124,1,21
125,1,21
126,1,21
127,1,21
128,1,21
129,1,21
130,1,21
131,1,21
132,1,21
133,1,21
134,1,21
135,1,21
136,1,21
137,1,21
138,1,21
139,1,21
140,1,21
141,1,21
142,1,21
143,1,21
