Turn,Happiness,Load
0,0,10
1,0,10
2,0,10
3,0,10
4,0,10
5,0,10
6,0,10
7,0,10
8,3,14
9,3,14
10,10,25
11,14,30
12,14,30
13,14,30
14,14,30
15,18,36
16,18,36
17,18,36
18,18,36
19,18,36
20,18,36
21,18,36
22,18,36
23,18,36
24,18,36
25,18,36
26,18,36
27,18,36
28,18,36
29,18,36
30,18,36
31,18,36
32,18,36
33,18,36
34,18,36
35,18,36
36,18,36
37,18,36
38,18,36
39,18,36
40,18,36
41,18,36
42,18,36
43,18,36
44,18,36
45,18,36
46,18,36
47,18,36
48,18,36
49,18,36
50,18,36
51,18,36
52,18,36
53,18,36
54,18,36
55,18,36
56,18,36
57,18,36
58,18,36
59,18,36
60,18,36
61,18,36
62,18,36
63,18,36
64,18,36
65,18,36
66,18,36
67,18,36
68,18,36
69,18,36
70,18,36
71,18,36
72,18,36
73,18,36
74,18,36
75,18,36
76,18,36
77,18,36
78,18,36
79,18,36
80,18,36
81,18,36
82,18,36
83,18,36
84,18,36
85,18,36
86,18,36
87,18,36
88,18,36
89,18,36
90,18,36
91,18,36
92,18,36
93,18,36
94,18,36
95,18,36
96,18,36
97,18,36
98,18,36
99,18,36
100,18,36
101,18,36
102,18,36
103,18,36
104,18,36
105,18,36
106,18,36
107,18,36
108,18,36
109,18,36
110,18,36
111,18,36
112,18,36
113,18,36
114,18,36
115,18,36
116,18,36
117,18,36
118,18,36
119,18,36
120,18,36
121,18,36
122,18,36
123,18,36
124,18,36
125,18,36
126,18,36
127,18,36
128,18,36
129,18,36
130,18,36
131,18,36
132,18,36
133,18,36
134,18,36
135,18,36
136,18,36
137,18,36
138,18,36
139,18,36
140,18,36
141,18,36
142,0,1
143,0,1
