Turn,Happiness,Load
0,0.0,155.0
1,0.0,155.0
2,0.0,155.0
3,0.0,155.0
4,0.0,155.0
5,0.0,155.0
6,0.0,155.0
7,0.0,155.0
8,0.0,155.0
9,0.0,155.0
10,0.0,155.0
11,0.0,155.0
12,0.0,155.0
13,0.0,155.0
14,0.0,155.0
15,0.0,155.0
16,0.0,192.0
17,7.0,192.0
18,7.0,192.0
19,7.0,192.0
20,7.0,192.0
21,7.0,192.0
22,7.0,192.0
23,7.0,192.0
24,7.0,192.0
25,7.0,192.0
26,7.0,192.0
27,7.0,192.0
28,7.0,192.0
29,7.0,192.0
30,7.0,192.0
31,7.0,222.0
32,11.0,222.0
33,11.0,222.0
34,11.0,222.0
35,11.0,222.0
36,11.0,222.0
37,11.0,222.0
38,11.0,222.0
39,11.0,222.0
40,11.0,222.0
41,11.0,222.0
42,11.0,222.0
43,11.0,222.0
44,11.0,222.0
45,11.0,222.0
46,11.0,222.0
47,11.0,222.0
48,11.0,222.0
49,11.0,222.0
50,11.0,222.0
51,11.0,222.0
52,11.0,222.0
53,11.0,222.0
54,11.0,222.0
55,11.0,222.0
56,11.0,222.0
57,11.0,222.0
58,11.0,222.0
59,11.0,222.0
60,11.0,222.0
61,11.0,222.0
62,11.0,222.0
63,11.0,222.0
64,11.0,222.0
65,11.0,222.0
66,11.0,222.0
67,11.0,192.0
68,0.0,198.0
69,13.0,211.0
70,28.0,217.0
71,44.0,217.0
72,44.0,222.0
73,49.0,232.0
74,66.0,232.0
75,66.0,232.0
76,66.0,232.0
77,66.0,232.0
78,66.0,232.0
79,66.0,232.0
80,66.0,232.0
81,66.0,232.0
82,66.0,232.0
83,66.0,232.0
84,66.0,236.0
85,74.0,236.0
86,74.0,236.0
87,74.0,236.0
88,74.0,236.0
89,74.0,236.0
90,74.0,236.0
91,74.0,236.0
92,74.0,236.0
93,74.0,236.0
94,74.0,236.0
95,74.0,236.0
96,74.0,236.0
97,74.0,236.0
98,74.0,236.0
99,74.0,236.0
100,74.0,236.0
101,74.0,236.0
102,74.0,236.0
103,74.0,236.0
104,74.0,236.0
105,74.0,236.0
106,74.0,236.0
107,74.0,236.0
108,74.0,242.0
109,74.0,247.0
110,79.0,247.0
111,79.0,252.0
112,79.0,252.0
113,79.0,252.0
114,79.0,252.0
115,79.0,252.0
116,79.0,252.0
117,79.0,252.0
118,79.0,252.0
119,79.0,213.0
120,78.0,215.0
121,69.0,219.0
122,77.0,214.0
123,67.0,214.0
124,67.0,214.0
125,67.0,233.0
126,79.0,233.0
127,79.0,233.0
128,79.0,233.0
129,66.0,233.0
130,66.0,233.0
131,66.0,233.0
132,66.0,233.0
133,66.0,233.0
134,66.0,206.0
135,63.0,207.0
136,70.0,213.0
137,29.0,218.0
138,39.0,224.0
139,42.0,229.0
140,45.0,196.0
141,0.0,196.0
142,0.0,196.0
143,0.0,196.0
