Turn,Happiness,Load
0,0,11
1,0,11
2,0,11
3,0,11
4,0,11
5,0,11
6,0,11
7,0,11
8,0,11
9,0,11
10,0,11
11,0,11
12,0,11
13,0,11
14,0,11
15,0,11
16,0,11
17,0,11
18,0,11
19,0,11
20,0,11
21,0,11
22,0,11
23,0,11
24,0,11
25,0,11
26,0,11
27,0,11
28,0,11
29,0,11
30,0,11
31,0,11
32,0,11
33,0,11
34,0,11
35,0,11
36,0,11
37,0,11
38,0,11
39,0,11
40,0,11
41,0,11
42,0,11
43,0,11
44,0,11
45,0,11
46,0,11
47,0,11
48,0,11
49,0,11
50,0,11
51,0,11
52,0,11
53,0,11
54,0,11
55,0,11
56,0,11
57,0,11
58,0,11
59,0,11
60,0,11
61,0,11
62,0,11
63,0,11
64,0,11
65,0,11
66,0,11
67,0,11
68,0,11
69,0,11
70,0,11
71,6,17
72,6,17
73,6,17
74,6,17
75,6,17
76,6,17
77,6,17
78,6,17
79,6,17
80,6,17
81,6,17
82,6,17
83,6,17
84,6,17
85,6,17
86,6,17
87,6,17
88,6,17
89,6,17
90,6,17
91,6,17
92,6,17
93,6,17
94,6,17
95,6,17
96,6,17
97,6,17
98,6,17
99,6,17
100,6,17
101,6,17
102,6,17
103,6,17
104,6,17
105,6,17
106,6,17
107,6,17
108,6,17
109,6,17
110,6,17
111,6,17
112,6,17
113,6,17
114,6,17
115,14,22
116,14,22
117,14,22
118,14,22
119,14,22
120,14,22
121,14,22
122,0,0
123,7,4
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,8,5
131,8,5
132,15,16
133,8,4
134,8,4
135,4,2
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
