Turn,Happiness,Load
0,0.0,152.0
1,0.0,152.0
2,0.0,152.0
3,0.0,152.0
4,0.0,152.0
5,0.0,152.0
6,0.0,152.0
7,0.0,152.0
8,0.0,152.0
9,0.0,152.0
10,0.0,152.0
11,0.0,152.0
12,0.0,152.0
13,0.0,152.0
14,0.0,152.0
15,0.0,152.0
16,0.0,152.0
17,0.0,179.0
18,3.0,179.0
19,3.0,186.0
20,6.0,186.0
21,6.0,186.0
22,6.0,186.0
23,6.0,186.0
24,6.0,186.0
25,6.0,186.0
26,6.0,186.0
27,6.0,186.0
28,6.0,186.0
29,6.0,186.0
30,6.0,186.0
31,6.0,186.0
32,6.0,186.0
33,6.0,186.0
34,6.0,186.0
35,6.0,186.0
36,6.0,186.0
37,6.0,195.0
38,9.0,195.0
39,9.0,195.0
40,9.0,195.0
41,9.0,195.0
42,9.0,195.0
43,9.0,195.0
44,9.0,195.0
45,9.0,197.0
46,11.0,197.0
47,11.0,197.0
48,11.0,197.0
49,11.0,197.0
50,11.0,197.0
51,11.0,197.0
52,11.0,197.0
53,11.0,197.0
54,11.0,197.0
55,11.0,197.0
56,11.0,197.0
57,11.0,197.0
58,11.0,197.0
59,11.0,197.0
60,11.0,197.0
61,11.0,197.0
62,11.0,197.0
63,11.0,197.0
64,11.0,205.0
65,4.0,205.0
66,4.0,218.0
67,15.0,218.0
68,15.0,223.0
69,23.0,223.0
70,23.0,223.0
71,23.0,227.0
72,29.0,241.0
73,44.0,247.0
74,52.0,248.0
75,54.0,248.0
76,54.0,248.0
77,54.0,248.0
78,54.0,248.0
79,54.0,248.0
80,54.0,255.0
81,64.0,255.0
82,64.0,255.0
83,64.0,255.0
84,64.0,255.0
85,64.0,255.0
86,64.0,255.0
87,64.0,255.0
88,64.0,255.0
89,64.0,255.0
90,64.0,255.0
91,64.0,255.0
92,64.0,255.0
93,64.0,255.0
94,64.0,255.0
95,64.0,255.0
96,64.0,262.0
97,75.0,264.0
98,80.0,264.0
99,80.0,264.0
100,80.0,264.0
101,80.0,264.0
102,80.0,264.0
103,80.0,264.0
104,80.0,264.0
105,80.0,264.0
106,80.0,264.0
107,80.0,264.0
108,80.0,264.0
109,80.0,264.0
110,80.0,271.0
111,91.0,271.0
112,91.0,271.0
113,91.0,271.0
114,91.0,271.0
115,91.0,271.0
116,91.0,271.0
117,91.0,210.0
118,66.0,212.0
119,74.0,201.0
120,37.0,211.0
121,52.0,213.0
122,59.0,205.0
123,42.0,209.0
124,48.0,208.0
125,18.0,208.0
126,18.0,208.0
127,18.0,198.0
128,12.0,207.0
129,28.0,218.0
130,31.0,210.0
131,6.0,211.0
132,4.0,213.0
133,7.0,224.0
134,15.0,224.0
135,15.0,211.0
136,4.0,219.0
137,9.0,227.0
138,15.0,218.0
139,11.0,195.0
140,0.0,195.0
141,0.0,195.0
142,0.0,195.0
143,0.0,195.0
