Turn,Happiness,Load
0,126,50
1,126,50
2,126,50
3,126,50
4,126,50
5,126,50
6,210,71
7,200,73
8,213,70
9,217,71
10,211,69
11,214,69
12,218,74
13,218,74
14,221,73
15,225,74
16,225,74
17,209,77
18,233,78
19,233,82
20,247,74
21,234,74
22,239,78
23,236,79
24,236,79
25,239,75
26,239,75
27,238,73
28,238,73
29,234,73
30,241,75
31,241,75
32,231,72
33,238,71
34,227,71
35,230,70
36,221,72
37,221,72
38,222,80
39,185,80
40,178,78
41,201,74
42,191,73
43,180,75
44,180,75
45,186,76
46,186,76
47,173,83
48,152,78
49,154,78
50,140,73
51,122,75
52,141,76
53,129,76
54,114,76
55,102,79
56,88,78
57,78,78
58,71,74
59,71,74
60,89,70
61,89,73
62,66,76
63,48,71
64,23,79
65,20,83
66,15,79
67,9,77
68,2,81
69,3,81
70,2,84
71,3,84
72,2,83
73,0,78
74,0,88
75,0,84
76,0,85
77,0,81
78,0,76
79,0,90
80,0,87
81,0,94
82,0,85
83,0,87
84,0,89
85,0,93
86,0,78
87,5,73
88,0,93
89,12,77
90,13,77
91,8,77
92,9,77
93,0,81
94,1,77
95,4,78
96,6,80
97,11,77
98,51,77
99,41,77
100,43,77
101,44,76
102,9,79
103,9,78
104,9,84
105,9,76
106,9,80
107,0,84
108,0,83
109,0,76
110,0,92
111,1,76
112,2,79
113,6,78
114,8,79
115,2,76
116,2,76
117,2,76
118,0,79
119,0,81
120,0,88
121,0,88
122,4,81
123,4,81
124,4,83
125,15,79
126,18,78
127,26,79
128,13,78
129,13,85
130,13,85
131,22,80
132,16,81
133,14,83
134,14,83
135,19,77
136,31,79
137,34,78
138,34,79
139,39,79
140,39,79
141,39,79
142,39,79
143,39,79
