Turn,Happiness,Load
0,445.0,160.0
1,440.0,160.0
2,451.0,170.0
3,473.0,179.0
4,481.0,199.0
5,458.0,216.0
6,461.0,223.0
7,457.0,223.0
8,457.0,223.0
9,457.0,223.0
10,457.0,223.0
11,457.0,223.0
12,457.0,223.0
13,457.0,223.0
14,457.0,223.0
15,457.0,223.0
16,457.0,223.0
17,457.0,223.0
18,457.0,223.0
19,457.0,223.0
20,457.0,223.0
21,457.0,223.0
22,457.0,223.0
23,457.0,223.0
24,457.0,223.0
25,457.0,223.0
26,457.0,223.0
27,457.0,223.0
28,457.0,223.0
29,457.0,223.0
30,457.0,223.0
31,457.0,223.0
32,457.0,223.0
33,457.0,223.0
34,457.0,223.0
35,457.0,223.0
36,457.0,223.0
37,457.0,223.0
38,457.0,223.0
39,457.0,223.0
40,457.0,223.0
41,457.0,223.0
42,457.0,223.0
43,457.0,223.0
44,457.0,223.0
45,457.0,223.0
46,457.0,223.0
47,457.0,223.0
48,457.0,220.0
49,428.0,218.0
50,405.0,218.0
51,405.0,218.0
52,405.0,222.0
53,367.0,242.0
54,319.0,242.0
55,319.0,242.0
56,319.0,242.0
57,319.0,242.0
58,319.0,217.0
59,401.0,224.0
60,356.0,224.0
61,356.0,224.0
62,356.0,224.0
63,356.0,224.0
64,356.0,224.0
65,356.0,224.0
66,356.0,224.0
67,356.0,224.0
68,356.0,224.0
69,356.0,224.0
70,356.0,224.0
71,356.0,224.0
72,356.0,224.0
73,356.0,224.0
74,356.0,224.0
75,356.0,224.0
76,356.0,224.0
77,356.0,224.0
78,356.0,224.0
79,356.0,224.0
80,356.0,224.0
81,356.0,224.0
82,356.0,224.0
83,356.0,224.0
84,356.0,224.0
85,356.0,224.0
86,356.0,224.0
87,356.0,224.0
88,356.0,224.0
89,356.0,224.0
90,356.0,224.0
91,356.0,224.0
92,356.0,224.0
93,356.0,224.0
94,356.0,224.0
95,356.0,224.0
96,356.0,224.0
97,356.0,224.0
98,356.0,224.0
99,356.0,224.0
100,356.0,224.0
101,356.0,224.0
102,356.0,224.0
103,356.0,224.0
104,356.0,224.0
105,356.0,224.0
106,356.0,224.0
107,356.0,224.0
108,356.0,224.0
109,356.0,224.0
110,356.0,224.0
111,356.0,224.0
112,356.0,224.0
113,356.0,224.0
114,356.0,224.0
115,356.0,224.0
116,356.0,224.0
117,356.0,224.0
118,356.0,224.0
119,356.0,224.0
120,356.0,224.0
121,356.0,224.0
122,356.0,224.0
123,356.0,224.0
124,356.0,224.0
125,356.0,224.0
126,356.0,224.0
127,356.0,224.0
128,356.0,224.0
129,356.0,224.0
130,356.0,224.0
131,356.0,224.0
132,356.0,224.0
133,356.0,224.0
134,356.0,224.0
135,356.0,224.0
136,356.0,224.0
137,356.0,224.0
138,356.0,224.0
139,356.0,224.0
140,356.0,224.0
141,356.0,224.0
142,356.0,224.0
143,356.0,224.0
