Turn,Happiness,Load
0,30,22
1,30,22
2,30,22
3,30,22
4,30,22
5,30,22
6,30,22
7,30,22
8,30,22
9,30,22
10,30,22
11,30,22
12,30,22
13,30,22
14,30,22
15,30,22
16,30,22
17,30,22
18,30,22
19,30,22
20,30,22
21,30,22
22,30,22
23,30,22
24,30,22
25,30,22
26,30,22
27,30,22
28,30,22
29,30,22
30,30,22
31,30,22
32,30,22
33,30,22
34,30,22
35,30,22
36,30,22
37,30,22
38,30,22
39,30,22
40,30,22
41,30,22
42,30,22
43,30,22
44,30,22
45,30,22
46,30,22
47,30,22
48,30,22
49,30,22
50,30,22
51,30,22
52,30,22
53,30,22
54,30,22
55,30,22
56,30,22
57,30,22
58,30,22
59,30,22
60,30,22
61,30,22
62,30,22
63,30,22
64,30,22
65,30,22
66,30,22
67,30,22
68,30,22
69,30,22
70,30,22
71,30,22
72,30,22
73,30,22
74,30,22
75,30,22
76,30,22
77,30,22
78,30,22
79,30,22
80,30,22
81,30,22
82,30,22
83,30,22
84,30,22
85,30,22
86,30,22
87,30,22
88,30,22
89,30,22
90,30,22
91,30,22
92,30,22
93,30,22
94,30,22
95,30,22
96,30,22
97,30,22
98,30,22
99,30,22
100,30,22
101,30,22
102,30,22
103,30,22
104,30,22
105,30,22
106,30,22
107,30,22
108,30,22
109,30,22
110,30,22
111,30,22
112,30,22
113,30,22
114,30,22
115,30,22
116,30,22
117,30,22
118,30,22
119,30,22
120,30,22
121,30,22
122,30,22
123,30,22
124,30,22
125,30,22
126,30,22
127,30,22
128,30,22
129,30,22
130,30,22
131,30,22
132,30,22
133,30,22
134,30,22
135,30,22
136,30,22
137,30,22
138,30,22
139,30,22
140,30,22
141,30,22
142,30,22
143,30,22
