Turn,Happiness,Load
0,328.0,156.0
1,274.0,156.0
2,265.0,156.0
3,265.0,156.0
4,265.0,156.0
5,265.0,156.0
6,265.0,156.0
7,265.0,156.0
8,265.0,156.0
9,265.0,156.0
10,265.0,156.0
11,265.0,156.0
12,265.0,156.0
13,265.0,156.0
14,265.0,156.0
15,265.0,156.0
16,265.0,156.0
17,265.0,156.0
18,265.0,156.0
19,265.0,156.0
20,265.0,156.0
21,265.0,156.0
22,265.0,156.0
23,265.0,156.0
24,265.0,156.0
25,265.0,156.0
26,265.0,156.0
27,265.0,156.0
28,265.0,156.0
29,265.0,156.0
30,265.0,156.0
31,265.0,156.0
32,265.0,156.0
33,265.0,156.0
34,265.0,156.0
35,265.0,156.0
36,265.0,156.0
37,265.0,156.0
38,265.0,156.0
39,265.0,156.0
40,265.0,156.0
41,265.0,156.0
42,265.0,156.0
43,265.0,156.0
44,265.0,156.0
45,265.0,156.0
46,265.0,156.0
47,265.0,156.0
48,265.0,156.0
49,265.0,156.0
50,265.0,156.0
51,265.0,156.0
52,265.0,156.0
53,265.0,156.0
54,265.0,156.0
55,265.0,156.0
56,265.0,156.0
57,265.0,156.0
58,265.0,156.0
59,265.0,156.0
60,265.0,156.0
61,265.0,156.0
62,265.0,156.0
63,265.0,156.0
64,265.0,156.0
65,265.0,156.0
66,265.0,156.0
67,265.0,156.0
68,265.0,156.0
69,265.0,156.0
70,265.0,156.0
71,265.0,156.0
72,265.0,156.0
73,265.0,156.0
74,265.0,156.0
75,265.0,156.0
76,265.0,156.0
77,265.0,156.0
78,265.0,156.0
79,265.0,156.0
80,265.0,156.0
81,265.0,156.0
82,265.0,156.0
83,265.0,194.0
84,259.0,193.0
85,259.0,195.0
86,253.0,191.0
87,253.0,192.0
88,253.0,192.0
89,253.0,197.0
90,253.0,193.0
91,253.0,193.0
92,253.0,193.0
93,253.0,193.0
94,253.0,193.0
95,253.0,193.0
96,253.0,193.0
97,253.0,193.0
98,253.0,193.0
99,253.0,193.0
100,253.0,193.0
101,253.0,193.0
102,253.0,193.0
103,253.0,193.0
104,253.0,193.0
105,253.0,193.0
106,253.0,193.0
107,253.0,193.0
108,253.0,193.0
109,253.0,193.0
110,253.0,193.0
111,253.0,193.0
112,253.0,193.0
113,253.0,193.0
114,253.0,193.0
115,253.0,193.0
116,253.0,193.0
117,253.0,193.0
118,253.0,193.0
119,253.0,193.0
120,253.0,193.0
121,253.0,193.0
122,253.0,193.0
123,253.0,193.0
124,253.0,193.0
125,253.0,193.0
126,253.0,193.0
127,253.0,193.0
128,253.0,193.0
129,253.0,193.0
130,253.0,193.0
131,253.0,193.0
132,253.0,193.0
133,253.0,193.0
134,253.0,193.0
135,253.0,193.0
136,253.0,193.0
137,253.0,193.0
138,253.0,193.0
139,253.0,193.0
140,253.0,193.0
141,253.0,193.0
142,253.0,193.0
143,253.0,193.0
