Turn,Happiness,Load
0,69,29
1,69,29
2,69,29
3,69,29
4,69,29
5,69,29
6,69,29
7,69,29
8,69,29
9,69,29
10,69,29
11,69,29
12,69,29
13,69,29
14,69,29
15,69,29
16,69,29
17,69,29
18,69,29
19,69,29
20,69,29
21,69,29
22,69,29
23,69,29
24,69,29
25,69,29
26,69,29
27,69,29
28,69,29
29,69,29
30,69,29
31,69,29
32,69,29
33,69,29
34,69,29
35,69,29
36,69,29
37,69,29
38,69,29
39,69,29
40,69,29
41,69,29
42,69,29
43,69,29
44,69,29
45,69,29
46,69,29
47,69,29
48,69,29
49,69,29
50,69,29
51,58,40
52,52,42
53,55,44
54,55,44
55,55,44
56,55,44
57,55,44
58,55,44
59,55,44
60,55,44
61,55,44
62,55,44
63,55,44
64,55,44
65,55,44
66,55,44
67,55,44
68,55,44
69,55,44
70,55,44
71,55,44
72,55,44
73,55,44
74,55,44
75,55,44
76,55,44
77,55,44
78,55,44
79,55,44
80,55,44
81,55,44
82,55,44
83,55,44
84,55,44
85,55,44
86,55,44
87,55,44
88,55,44
89,55,44
90,55,44
91,55,44
92,55,44
93,55,44
94,55,44
95,55,44
96,55,44
97,55,44
98,55,44
99,55,44
100,55,44
101,55,44
102,55,44
103,55,44
104,55,44
105,55,44
106,55,44
107,55,44
108,55,44
109,55,44
110,55,44
111,55,44
112,55,44
113,55,44
114,55,44
115,55,44
116,55,44
117,55,44
118,55,44
119,55,44
120,55,44
121,55,44
122,55,44
123,55,44
124,55,44
125,55,44
126,55,44
127,55,44
128,55,44
129,55,44
130,55,44
131,55,44
132,55,44
133,55,44
134,55,44
135,55,44
136,55,44
137,55,44
138,55,44
139,55,44
140,55,44
141,55,44
142,55,44
143,55,44
