Turn,Happiness,Load
0,435.0,152.0
1,435.0,152.0
2,435.0,152.0
3,435.0,152.0
4,435.0,152.0
5,435.0,152.0
6,435.0,152.0
7,435.0,152.0
8,435.0,152.0
9,435.0,152.0
10,435.0,152.0
11,435.0,152.0
12,435.0,152.0
13,435.0,152.0
14,435.0,152.0
15,435.0,152.0
16,435.0,152.0
17,435.0,152.0
18,435.0,152.0
19,435.0,152.0
20,435.0,152.0
21,435.0,152.0
22,435.0,152.0
23,435.0,152.0
24,435.0,152.0
25,435.0,152.0
26,435.0,152.0
27,435.0,152.0
28,435.0,152.0
29,435.0,152.0
30,435.0,152.0
31,435.0,152.0
32,435.0,152.0
33,435.0,152.0
34,435.0,152.0
35,435.0,152.0
36,435.0,152.0
37,435.0,152.0
38,435.0,152.0
39,435.0,152.0
40,435.0,152.0
41,435.0,152.0
42,435.0,152.0
43,435.0,152.0
44,435.0,152.0
45,435.0,152.0
46,435.0,152.0
47,435.0,152.0
48,435.0,152.0
49,435.0,152.0
50,435.0,209.0
51,402.0,209.0
52,402.0,209.0
53,402.0,209.0
54,402.0,209.0
55,402.0,209.0
56,402.0,209.0
57,402.0,209.0
58,402.0,209.0
59,402.0,209.0
60,402.0,209.0
61,402.0,209.0
62,402.0,209.0
63,402.0,209.0
64,402.0,209.0
65,402.0,209.0
66,402.0,209.0
67,402.0,209.0
68,402.0,209.0
69,402.0,209.0
70,402.0,209.0
71,402.0,209.0
72,402.0,209.0
73,402.0,209.0
74,402.0,209.0
75,402.0,209.0
76,402.0,209.0
77,402.0,209.0
78,402.0,209.0
79,402.0,209.0
80,402.0,209.0
81,402.0,209.0
82,402.0,209.0
83,402.0,209.0
84,402.0,209.0
85,402.0,209.0
86,402.0,209.0
87,402.0,209.0
88,402.0,209.0
89,402.0,209.0
90,402.0,209.0
91,402.0,209.0
92,402.0,209.0
93,402.0,209.0
94,402.0,209.0
95,402.0,209.0
96,402.0,209.0
97,402.0,209.0
98,402.0,209.0
99,402.0,209.0
100,402.0,209.0
101,402.0,209.0
102,402.0,209.0
103,402.0,209.0
104,402.0,209.0
105,402.0,209.0
106,402.0,209.0
107,402.0,209.0
108,402.0,209.0
109,402.0,209.0
110,402.0,209.0
111,402.0,209.0
112,402.0,209.0
113,402.0,209.0
114,402.0,209.0
115,402.0,209.0
116,402.0,209.0
117,402.0,209.0
118,402.0,209.0
119,402.0,209.0
120,402.0,209.0
121,402.0,209.0
122,402.0,209.0
123,402.0,209.0
124,402.0,209.0
125,402.0,209.0
126,402.0,209.0
127,402.0,209.0
128,402.0,209.0
129,402.0,209.0
130,402.0,209.0
131,402.0,209.0
132,402.0,209.0
133,402.0,209.0
134,402.0,209.0
135,402.0,209.0
136,402.0,209.0
137,402.0,209.0
138,402.0,209.0
139,402.0,209.0
140,402.0,209.0
141,402.0,209.0
142,402.0,209.0
143,402.0,209.0
