Turn,Happiness,Load
0,0.0,157.0
1,0.0,157.0
2,0.0,157.0
3,0.0,157.0
4,0.0,157.0
5,0.0,157.0
6,0.0,157.0
7,0.0,157.0
8,0.0,157.0
9,0.0,157.0
10,0.0,157.0
11,0.0,157.0
12,0.0,157.0
13,0.0,157.0
14,0.0,157.0
15,0.0,157.0
16,0.0,157.0
17,0.0,157.0
18,0.0,157.0
19,0.0,157.0
20,0.0,157.0
21,0.0,157.0
22,0.0,157.0
23,0.0,157.0
24,0.0,157.0
25,0.0,157.0
26,0.0,157.0
27,0.0,157.0
28,0.0,157.0
29,0.0,157.0
30,0.0,157.0
31,0.0,157.0
32,0.0,189.0
33,5.0,189.0
34,5.0,189.0
35,5.0,196.0
36,8.0,196.0
37,8.0,196.0
38,8.0,196.0
39,8.0,196.0
40,8.0,196.0
41,8.0,196.0
42,8.0,196.0
43,8.0,196.0
44,8.0,196.0
45,8.0,196.0
46,8.0,196.0
47,8.0,196.0
48,8.0,196.0
49,8.0,196.0
50,8.0,196.0
51,8.0,196.0
52,8.0,196.0
53,8.0,196.0
54,8.0,196.0
55,8.0,196.0
56,8.0,196.0
57,8.0,196.0
58,8.0,196.0
59,8.0,196.0
60,8.0,196.0
61,8.0,196.0
62,8.0,196.0
63,8.0,196.0
64,8.0,196.0
65,8.0,196.0
66,8.0,196.0
67,8.0,196.0
68,8.0,196.0
69,8.0,196.0
70,8.0,196.0
71,8.0,196.0
72,8.0,196.0
73,8.0,196.0
74,8.0,196.0
75,8.0,196.0
76,8.0,196.0
77,8.0,196.0
78,8.0,196.0
79,8.0,196.0
80,8.0,196.0
81,8.0,196.0
82,8.0,196.0
83,8.0,196.0
84,8.0,196.0
85,8.0,196.0
86,8.0,196.0
87,8.0,196.0
88,8.0,196.0
89,8.0,196.0
90,8.0,196.0
91,8.0,196.0
92,8.0,196.0
93,8.0,196.0
94,8.0,196.0
95,8.0,196.0
96,8.0,196.0
97,8.0,196.0
98,8.0,196.0
99,8.0,196.0
100,8.0,196.0
101,8.0,196.0
102,8.0,196.0
103,8.0,196.0
104,8.0,196.0
105,8.0,196.0
106,8.0,196.0
107,8.0,196.0
108,8.0,196.0
109,8.0,196.0
110,8.0,196.0
111,8.0,196.0
112,8.0,196.0
113,8.0,196.0
114,8.0,196.0
115,8.0,196.0
116,8.0,196.0
117,8.0,196.0
118,8.0,196.0
119,8.0,196.0
120,8.0,196.0
121,8.0,196.0
122,8.0,196.0
123,8.0,196.0
124,8.0,196.0
125,8.0,196.0
126,8.0,196.0
127,8.0,196.0
128,8.0,196.0
129,8.0,196.0
130,8.0,196.0
131,8.0,209.0
132,0.0,217.0
133,16.0,216.0
134,0.0,216.0
135,0.0,219.0
136,7.0,219.0
137,7.0,219.0
138,7.0,209.0
139,0.0,209.0
140,0.0,209.0
141,0.0,209.0
142,0.0,209.0
143,0.0,209.0
