Turn,Happiness,Load
0,0,30
1,0,30
2,0,30
3,0,30
4,0,30
5,0,30
6,0,30
7,0,30
8,0,30
9,0,30
10,0,30
11,0,30
12,0,30
13,0,30
14,0,30
15,0,30
16,0,30
17,0,30
18,0,30
19,0,30
20,0,30
21,0,30
22,0,30
23,0,30
24,0,30
25,0,30
26,0,30
27,0,30
28,0,30
29,0,30
30,0,30
31,0,30
32,0,30
33,0,30
34,0,30
35,0,30
36,0,30
37,11,36
38,11,36
39,11,36
40,11,36
41,11,36
42,11,36
43,11,36
44,11,36
45,11,36
46,11,36
47,11,36
48,11,36
49,11,36
50,11,36
51,11,36
52,11,36
53,11,36
54,11,36
55,11,36
56,11,36
57,11,36
58,11,45
59,11,45
60,30,56
61,24,47
62,15,51
63,15,51
64,11,56
65,8,75
66,8,75
67,8,75
68,8,75
69,8,75
70,8,75
71,8,75
72,8,73
73,8,73
74,8,73
75,8,73
76,8,73
77,8,73
78,8,73
79,8,73
80,8,73
81,8,73
82,8,73
83,8,73
84,8,73
85,8,71
86,8,71
87,8,71
88,8,71
89,8,71
90,8,71
91,8,71
92,8,71
93,8,71
94,8,71
95,8,71
96,8,71
97,8,71
98,8,71
99,8,71
100,8,71
101,8,71
102,8,71
103,8,71
104,8,71
105,8,71
106,5,73
107,5,73
108,5,73
109,0,75
110,0,75
111,0,75
112,0,73
113,0,75
114,0,72
115,0,75
116,0,75
117,0,75
118,0,75
119,0,71
120,0,71
121,0,75
122,0,75
123,0,75
124,0,75
125,0,75
126,0,75
127,0,74
128,0,73
129,0,71
130,0,74
131,0,71
132,0,59
133,0,59
134,0,58
135,0,58
136,0,58
137,0,64
138,0,64
139,0,64
140,0,64
141,0,48
142,0,42
143,0,42
