Turn,Happiness,Load
0,48,28
1,48,28
2,48,28
3,48,28
4,48,28
5,48,28
6,48,28
7,48,28
8,48,28
9,48,28
10,48,28
11,48,28
12,48,28
13,48,28
14,48,28
15,48,28
16,48,28
17,48,28
18,48,28
19,48,28
20,48,28
21,48,28
22,48,28
23,48,28
24,48,28
25,48,28
26,48,28
27,48,28
28,48,28
29,48,28
30,48,28
31,48,28
32,48,28
33,48,28
34,48,28
35,48,28
36,48,28
37,48,28
38,48,28
39,48,28
40,48,28
41,48,28
42,48,28
43,48,28
44,48,28
45,48,28
46,48,28
47,48,28
48,48,28
49,48,28
50,48,28
51,48,28
52,48,28
53,48,28
54,48,28
55,48,28
56,48,28
57,48,28
58,48,28
59,48,28
60,48,28
61,48,28
62,48,28
63,48,28
64,48,28
65,48,28
66,48,28
67,48,28
68,48,28
69,48,28
70,48,28
71,48,28
72,48,28
73,48,28
74,48,28
75,48,28
76,48,28
77,48,28
78,48,28
79,48,28
80,48,28
81,48,28
82,48,28
83,48,28
84,48,28
85,48,28
86,48,28
87,48,28
88,48,28
89,48,28
90,48,28
91,48,28
92,48,28
93,48,28
94,48,28
95,48,28
96,48,28
97,48,28
98,48,28
99,48,28
100,48,28
101,48,28
102,48,28
103,48,28
104,48,28
105,48,28
106,48,28
107,48,28
108,48,28
109,48,28
110,48,28
111,48,28
112,48,28
113,48,28
114,48,28
115,48,28
116,48,28
117,48,28
118,48,28
119,48,28
120,48,28
121,48,28
122,48,28
123,48,28
124,48,28
125,48,28
126,48,28
127,48,28
128,48,28
129,48,28
130,48,28
131,48,28
132,48,28
133,48,28
134,48,28
135,48,28
136,48,28
137,48,28
138,48,28
139,48,28
140,48,28
141,48,28
142,48,28
143,48,28
