Turn,Happiness,Load
0,399.0,154.0
1,399.0,154.0
2,399.0,154.0
3,399.0,154.0
4,399.0,154.0
5,399.0,154.0
6,399.0,154.0
7,399.0,154.0
8,399.0,154.0
9,399.0,154.0
10,399.0,154.0
11,399.0,154.0
12,399.0,154.0
13,399.0,154.0
14,399.0,154.0
15,399.0,154.0
16,399.0,154.0
17,399.0,154.0
18,399.0,154.0
19,399.0,154.0
20,399.0,154.0
21,399.0,154.0
22,399.0,154.0
23,399.0,154.0
24,399.0,154.0
25,399.0,154.0
26,399.0,154.0
27,399.0,154.0
28,399.0,154.0
29,399.0,154.0
30,399.0,154.0
31,399.0,154.0
32,399.0,154.0
33,399.0,154.0
34,399.0,154.0
35,399.0,154.0
36,399.0,154.0
37,399.0,154.0
38,399.0,154.0
39,399.0,154.0
40,399.0,154.0
41,399.0,154.0
42,399.0,154.0
43,399.0,154.0
44,399.0,154.0
45,399.0,154.0
46,399.0,154.0
47,399.0,154.0
48,399.0,154.0
49,399.0,154.0
50,399.0,154.0
51,399.0,154.0
52,399.0,154.0
53,399.0,154.0
54,399.0,154.0
55,399.0,154.0
56,399.0,154.0
57,399.0,154.0
58,399.0,154.0
59,399.0,154.0
60,399.0,154.0
61,399.0,154.0
62,399.0,154.0
63,399.0,154.0
64,399.0,154.0
65,399.0,154.0
66,399.0,154.0
67,399.0,154.0
68,399.0,154.0
69,399.0,154.0
70,399.0,154.0
71,399.0,154.0
72,399.0,154.0
73,399.0,154.0
74,399.0,154.0
75,399.0,154.0
76,399.0,154.0
77,399.0,154.0
78,399.0,154.0
79,399.0,154.0
80,399.0,154.0
81,399.0,154.0
82,399.0,154.0
83,399.0,154.0
84,399.0,154.0
85,399.0,154.0
86,399.0,154.0
87,399.0,154.0
88,399.0,154.0
89,399.0,154.0
90,399.0,154.0
91,399.0,154.0
92,399.0,154.0
93,399.0,154.0
94,399.0,154.0
95,399.0,154.0
96,399.0,154.0
97,399.0,154.0
98,399.0,154.0
99,399.0,154.0
100,399.0,154.0
101,399.0,154.0
102,399.0,154.0
103,399.0,154.0
104,399.0,154.0
105,399.0,154.0
106,399.0,154.0
107,399.0,154.0
108,399.0,154.0
109,399.0,154.0
110,399.0,154.0
111,399.0,154.0
112,399.0,154.0
113,399.0,154.0
114,399.0,154.0
115,399.0,154.0
116,399.0,154.0
117,399.0,154.0
118,399.0,154.0
119,399.0,154.0
120,399.0,154.0
121,399.0,154.0
122,399.0,154.0
123,399.0,154.0
124,399.0,154.0
125,399.0,154.0
126,399.0,154.0
127,399.0,154.0
128,399.0,154.0
129,399.0,154.0
130,399.0,154.0
131,399.0,154.0
132,399.0,154.0
133,399.0,154.0
134,399.0,154.0
135,399.0,154.0
136,399.0,154.0
137,399.0,154.0
138,399.0,154.0
139,399.0,154.0
140,399.0,154.0
141,399.0,154.0
142,399.0,154.0
143,399.0,154.0
