Turn,Happiness,Load
0,59,28
1,59,28
2,59,28
3,59,28
4,59,28
5,59,28
6,59,28
7,59,28
8,59,28
9,59,28
10,59,28
11,59,28
12,59,28
13,59,28
14,59,28
15,59,28
16,59,28
17,59,28
18,59,28
19,59,28
20,59,28
21,59,28
22,59,28
23,59,28
24,59,28
25,59,28
26,59,28
27,59,28
28,59,28
29,59,28
30,59,28
31,59,28
32,59,28
33,59,28
34,59,28
35,59,28
36,59,28
37,59,28
38,59,28
39,59,28
40,59,28
41,59,28
42,59,28
43,59,28
44,59,28
45,1,42
46,1,42
47,1,42
48,1,42
49,1,42
50,1,42
51,1,42
52,15,43
53,16,43
54,16,43
55,16,43
56,16,43
57,19,42
58,34,41
59,37,44
60,38,44
61,46,42
62,41,43
63,48,42
64,48,42
65,48,42
66,48,42
67,48,42
68,48,42
69,48,42
70,48,42
71,48,42
72,48,42
73,48,42
74,48,42
75,48,42
76,48,42
77,48,42
78,48,42
79,48,42
80,48,42
81,48,42
82,48,42
83,48,42
84,48,42
85,48,42
86,48,42
87,48,42
88,48,42
89,48,42
90,48,42
91,48,42
92,48,42
93,48,42
94,48,42
95,48,42
96,48,42
97,48,42
98,48,42
99,48,42
100,48,42
101,48,42
102,48,42
103,48,42
104,48,42
105,48,42
106,48,42
107,48,42
108,48,42
109,48,42
110,48,42
111,48,42
112,48,42
113,48,42
114,48,42
115,48,42
116,48,42
117,48,42
118,48,42
119,48,42
120,48,42
121,48,42
122,48,42
123,48,42
124,48,42
125,48,42
126,48,42
127,48,42
128,48,42
129,48,42
130,48,42
131,48,42
132,48,42
133,48,42
134,48,42
135,48,42
136,48,42
137,48,42
138,48,42
139,48,42
140,48,42
141,48,42
142,48,42
143,48,42
