Turn,Happiness,Load
0,419.0,153.0
1,400.0,153.0
2,400.0,153.0
3,400.0,153.0
4,400.0,153.0
5,400.0,153.0
6,400.0,153.0
7,400.0,153.0
8,400.0,153.0
9,400.0,153.0
10,400.0,153.0
11,400.0,153.0
12,400.0,153.0
13,400.0,153.0
14,400.0,153.0
15,400.0,153.0
16,400.0,153.0
17,400.0,153.0
18,400.0,153.0
19,400.0,153.0
20,400.0,153.0
21,400.0,153.0
22,400.0,153.0
23,400.0,153.0
24,400.0,153.0
25,400.0,153.0
26,400.0,153.0
27,400.0,153.0
28,400.0,153.0
29,400.0,153.0
30,400.0,153.0
31,400.0,153.0
32,400.0,153.0
33,400.0,153.0
34,400.0,153.0
35,400.0,153.0
36,400.0,153.0
37,400.0,153.0
38,400.0,153.0
39,400.0,153.0
40,400.0,153.0
41,400.0,153.0
42,400.0,153.0
43,400.0,153.0
44,400.0,153.0
45,400.0,153.0
46,400.0,153.0
47,400.0,153.0
48,400.0,153.0
49,400.0,227.0
50,382.0,227.0
51,382.0,227.0
52,382.0,209.0
53,354.0,209.0
54,354.0,209.0
55,354.0,209.0
56,354.0,209.0
57,354.0,209.0
58,354.0,209.0
59,354.0,209.0
60,354.0,209.0
61,354.0,209.0
62,354.0,209.0
63,354.0,209.0
64,354.0,209.0
65,354.0,209.0
66,354.0,209.0
67,354.0,209.0
68,354.0,209.0
69,354.0,209.0
70,354.0,209.0
71,354.0,209.0
72,354.0,209.0
73,354.0,209.0
74,354.0,209.0
75,354.0,209.0
76,354.0,209.0
77,354.0,209.0
78,354.0,209.0
79,354.0,209.0
80,354.0,209.0
81,354.0,209.0
82,354.0,209.0
83,354.0,209.0
84,354.0,209.0
85,354.0,209.0
86,354.0,209.0
87,354.0,209.0
88,354.0,209.0
89,354.0,209.0
90,354.0,209.0
91,354.0,209.0
92,354.0,209.0
93,354.0,209.0
94,354.0,209.0
95,354.0,209.0
96,354.0,209.0
97,354.0,209.0
98,354.0,209.0
99,354.0,209.0
100,354.0,209.0
101,354.0,209.0
102,354.0,209.0
103,354.0,209.0
104,354.0,209.0
105,354.0,209.0
106,354.0,209.0
107,354.0,209.0
108,354.0,209.0
109,354.0,209.0
110,354.0,209.0
111,354.0,209.0
112,354.0,209.0
113,354.0,209.0
114,354.0,209.0
115,354.0,209.0
116,354.0,209.0
117,354.0,209.0
118,354.0,209.0
119,354.0,209.0
120,354.0,209.0
121,354.0,209.0
122,354.0,209.0
123,354.0,209.0
124,354.0,209.0
125,354.0,209.0
126,354.0,209.0
127,354.0,209.0
128,354.0,209.0
129,354.0,209.0
130,354.0,209.0
131,354.0,209.0
132,354.0,209.0
133,354.0,209.0
134,354.0,209.0
135,354.0,209.0
136,354.0,209.0
137,354.0,209.0
138,354.0,209.0
139,354.0,209.0
140,354.0,209.0
141,354.0,209.0
142,354.0,209.0
143,354.0,209.0
