Turn,Happiness,Load
0,0,22
1,0,22
2,0,22
3,0,22
4,0,22
5,0,22
6,0,22
7,0,22
8,0,22
9,0,22
10,0,22
11,0,22
12,0,22
13,0,22
14,0,22
15,0,22
16,0,22
17,0,22
18,0,22
19,0,22
20,0,22
21,0,22
22,0,22
23,0,22
24,0,22
25,0,22
26,0,22
27,0,22
28,0,22
29,0,22
30,0,22
31,0,22
32,0,22
33,0,22
34,0,22
35,0,22
36,0,22
37,0,22
38,0,22
39,0,22
40,0,22
41,0,22
42,0,22
43,0,22
44,0,22
45,0,22
46,0,22
47,0,22
48,0,22
49,0,22
50,0,22
51,0,22
52,0,22
53,0,22
54,0,22
55,0,22
56,0,22
57,0,45
58,0,41
59,0,45
60,0,41
61,0,37
62,0,39
63,0,35
64,0,44
65,0,41
66,0,40
67,0,37
68,0,40
69,0,40
70,0,40
71,0,40
72,0,40
73,0,40
74,0,40
75,0,40
76,0,40
77,0,40
78,0,40
79,0,40
80,0,40
81,0,40
82,0,40
83,0,40
84,0,40
85,0,40
86,0,40
87,0,40
88,0,40
89,0,40
90,0,40
91,0,40
92,0,40
93,0,40
94,0,40
95,0,40
96,0,40
97,0,40
98,0,40
99,0,40
100,0,40
101,0,40
102,0,40
103,0,40
104,0,40
105,0,40
106,0,40
107,0,40
108,0,40
109,0,40
110,0,40
111,0,40
112,0,40
113,0,40
114,0,40
115,0,40
116,0,40
117,0,40
118,0,40
119,0,40
120,0,40
121,0,40
122,0,39
123,0,42
124,0,33
125,0,29
126,0,30
127,0,29
128,0,30
129,0,35
130,0,34
131,0,34
132,0,34
133,0,34
134,0,34
135,0,34
136,0,34
137,0,34
138,0,34
139,0,34
140,0,34
141,0,34
142,0,34
143,0,34
