Turn,Happiness,Load
0,0,27
1,0,27
2,0,27
3,0,27
4,0,27
5,0,27
6,0,27
7,0,47
8,0,44
9,0,44
10,0,50
11,0,51
12,0,61
13,0,59
14,0,59
15,0,59
16,0,58
17,0,57
18,0,57
19,0,57
20,0,67
21,0,75
22,0,72
23,0,66
24,0,66
25,0,72
26,0,72
27,0,76
28,0,76
29,0,76
30,0,76
31,0,76
32,0,76
33,0,76
34,0,76
35,0,76
36,0,76
37,0,85
38,0,85
39,0,85
40,0,85
41,0,85
42,0,85
43,0,85
44,0,85
45,0,85
46,0,85
47,0,85
48,0,85
49,0,85
50,0,85
51,0,85
52,0,85
53,0,85
54,0,85
55,0,85
56,0,85
57,0,85
58,0,85
59,0,71
60,0,71
61,0,71
62,0,71
63,0,71
64,0,71
65,0,71
66,0,71
67,0,71
68,0,71
69,0,71
70,0,71
71,0,71
72,0,71
73,0,71
74,0,71
75,0,71
76,0,71
77,0,71
78,0,71
79,0,71
80,0,71
81,0,71
82,0,71
83,0,71
84,0,71
85,0,71
86,0,71
87,0,71
88,0,71
89,0,71
90,0,72
91,0,72
92,0,72
93,0,72
94,0,72
95,0,72
96,0,72
97,0,72
98,0,72
99,0,72
100,0,72
101,0,72
102,0,72
103,0,72
104,0,72
105,0,72
106,0,72
107,0,72
108,0,72
109,0,72
110,0,72
111,0,72
112,0,72
113,0,72
114,0,72
115,0,72
116,0,72
117,0,72
118,0,72
119,0,72
120,0,72
121,0,72
122,0,72
123,0,72
124,0,72
125,0,72
126,0,72
127,0,72
128,0,72
129,0,72
130,0,72
131,0,72
132,0,72
133,0,72
134,0,72
135,0,72
136,0,72
137,0,72
138,0,72
139,0,72
140,0,72
141,0,72
142,0,72
143,0,72
