Turn,Happiness,Load
0,31,26
1,31,26
2,31,26
3,31,26
4,31,26
5,31,26
6,31,26
7,31,26
8,31,26
9,31,26
10,31,26
11,31,26
12,31,26
13,31,26
14,31,26
15,31,26
16,31,26
17,31,26
18,31,26
19,31,26
20,31,26
21,31,26
22,31,26
23,31,26
24,31,26
25,31,26
26,31,26
27,31,26
28,31,26
29,31,26
30,31,26
31,31,26
32,31,26
33,31,26
34,31,26
35,31,26
36,31,26
37,31,26
38,31,26
39,31,26
40,31,26
41,31,26
42,31,26
43,31,26
44,31,26
45,31,26
46,31,26
47,31,26
48,31,26
49,31,26
50,31,26
51,31,26
52,31,26
53,31,26
54,31,26
55,31,26
56,31,26
57,31,26
58,31,26
59,31,26
60,31,26
61,31,26
62,31,26
63,31,26
64,31,26
65,31,26
66,31,26
67,31,26
68,31,26
69,31,26
70,31,26
71,31,26
72,31,26
73,31,26
74,31,26
75,31,26
76,31,26
77,31,26
78,31,26
79,31,26
80,31,26
81,31,26
82,31,26
83,31,26
84,31,26
85,31,26
86,31,26
87,31,26
88,31,26
89,31,26
90,31,26
91,31,26
92,31,26
93,31,26
94,31,26
95,31,26
96,31,26
97,31,26
98,31,26
99,31,26
100,31,26
101,31,26
102,31,26
103,31,26
104,31,26
105,31,26
106,31,26
107,31,26
108,31,26
109,31,26
110,31,26
111,31,26
112,31,26
113,31,26
114,31,26
115,31,26
116,31,26
117,31,26
118,31,26
119,31,26
120,31,26
121,31,26
122,31,26
123,31,26
124,31,26
125,31,26
126,31,26
127,31,26
128,31,26
129,31,26
130,31,26
131,31,26
132,31,26
133,31,26
134,31,26
135,31,26
136,31,26
137,31,26
138,31,26
139,31,26
140,31,26
141,31,26
142,31,26
143,31,26
