Turn,Happiness,Load
0,348.0,144.0
1,317.0,144.0
2,296.0,144.0
3,296.0,144.0
4,296.0,144.0
5,296.0,144.0
6,296.0,144.0
7,296.0,144.0
8,296.0,144.0
9,296.0,144.0
10,296.0,144.0
11,296.0,144.0
12,296.0,144.0
13,296.0,144.0
14,296.0,144.0
15,296.0,144.0
16,296.0,144.0
17,296.0,144.0
18,296.0,144.0
19,296.0,144.0
20,296.0,144.0
21,296.0,144.0
22,296.0,144.0
23,296.0,144.0
24,296.0,144.0
25,296.0,144.0
26,296.0,144.0
27,296.0,144.0
28,296.0,144.0
29,296.0,144.0
30,296.0,144.0
31,296.0,144.0
32,296.0,144.0
33,296.0,144.0
34,296.0,144.0
35,296.0,144.0
36,296.0,144.0
37,296.0,144.0
38,296.0,144.0
39,296.0,144.0
40,296.0,144.0
41,296.0,144.0
42,296.0,144.0
43,296.0,144.0
44,296.0,144.0
45,296.0,144.0
46,296.0,144.0
47,296.0,144.0
48,296.0,144.0
49,296.0,144.0
50,296.0,144.0
51,296.0,144.0
52,296.0,144.0
53,296.0,144.0
54,296.0,144.0
55,296.0,144.0
56,296.0,144.0
57,296.0,144.0
58,296.0,144.0
59,296.0,144.0
60,296.0,144.0
61,296.0,144.0
62,296.0,144.0
63,296.0,144.0
64,296.0,144.0
65,296.0,144.0
66,296.0,144.0
67,296.0,144.0
68,296.0,144.0
69,296.0,144.0
70,296.0,144.0
71,296.0,144.0
72,296.0,144.0
73,296.0,144.0
74,296.0,144.0
75,296.0,144.0
76,296.0,144.0
77,296.0,144.0
78,296.0,144.0
79,296.0,144.0
80,296.0,144.0
81,296.0,144.0
82,296.0,144.0
83,296.0,144.0
84,296.0,144.0
85,296.0,144.0
86,296.0,144.0
87,296.0,144.0
88,296.0,144.0
89,296.0,144.0
90,296.0,144.0
91,296.0,144.0
92,296.0,144.0
93,296.0,144.0
94,296.0,144.0
95,296.0,144.0
96,296.0,144.0
97,296.0,144.0
98,296.0,144.0
99,296.0,144.0
100,296.0,144.0
101,296.0,144.0
102,296.0,144.0
103,296.0,144.0
104,296.0,144.0
105,296.0,144.0
106,296.0,144.0
107,296.0,144.0
108,296.0,144.0
109,296.0,144.0
110,296.0,144.0
111,296.0,144.0
112,296.0,144.0
113,296.0,144.0
114,296.0,144.0
115,296.0,144.0
116,296.0,144.0
117,296.0,144.0
118,296.0,144.0
119,296.0,144.0
120,296.0,144.0
121,296.0,144.0
122,296.0,144.0
123,296.0,144.0
124,296.0,144.0
125,296.0,144.0
126,296.0,144.0
127,296.0,144.0
128,296.0,144.0
129,296.0,144.0
130,296.0,144.0
131,296.0,144.0
132,296.0,144.0
133,296.0,144.0
134,296.0,144.0
135,296.0,144.0
136,296.0,144.0
137,296.0,144.0
138,296.0,144.0
139,296.0,144.0
140,296.0,144.0
141,296.0,144.0
142,296.0,144.0
143,296.0,144.0
