Turn,Happiness,Load
0,93,30
1,93,30
2,93,30
3,93,30
4,93,30
5,93,30
6,93,30
7,93,30
8,93,30
9,93,30
10,93,30
11,93,30
12,93,30
13,93,30
14,93,30
15,93,30
16,93,30
17,93,30
18,93,30
19,93,30
20,93,30
21,93,30
22,93,30
23,93,30
24,93,30
25,93,30
26,93,30
27,93,30
28,93,30
29,93,30
30,93,30
31,93,30
32,93,30
33,93,30
34,93,30
35,93,30
36,93,30
37,93,30
38,93,30
39,93,30
40,93,30
41,93,30
42,93,30
43,93,30
44,93,30
45,93,30
46,93,30
47,93,30
48,93,30
49,93,30
50,93,30
51,93,30
52,93,30
53,93,30
54,93,30
55,93,30
56,93,30
57,93,30
58,93,30
59,93,30
60,93,30
61,93,30
62,93,30
63,93,30
64,93,30
65,93,30
66,93,30
67,93,30
68,93,30
69,93,30
70,93,30
71,93,30
72,93,30
73,93,30
74,93,30
75,93,30
76,93,30
77,93,30
78,93,30
79,93,30
80,93,30
81,93,30
82,93,30
83,93,30
84,93,30
85,93,30
86,93,30
87,93,30
88,93,30
89,93,30
90,93,30
91,93,30
92,93,30
93,93,30
94,93,30
95,93,30
96,93,30
97,93,30
98,93,30
99,93,30
100,93,30
101,93,30
102,93,30
103,93,30
104,93,30
105,93,30
106,93,30
107,93,30
108,93,30
109,93,30
110,93,30
111,93,30
112,93,30
113,93,30
114,93,30
115,93,30
116,93,30
117,93,30
118,93,30
119,93,30
120,93,30
121,93,30
122,93,30
123,93,30
124,93,30
125,93,30
126,93,30
127,93,30
128,93,30
129,93,30
130,93,30
131,93,30
132,93,30
133,93,30
134,93,30
135,93,30
136,93,30
137,93,30
138,93,30
139,93,30
140,93,30
141,93,30
142,93,30
143,93,30
