Turn,Happiness,Load
0,411.0,152.0
1,411.0,152.0
2,411.0,152.0
3,411.0,152.0
4,411.0,152.0
5,411.0,152.0
6,411.0,152.0
7,411.0,152.0
8,411.0,152.0
9,411.0,152.0
10,411.0,152.0
11,411.0,152.0
12,411.0,152.0
13,411.0,152.0
14,411.0,152.0
15,411.0,152.0
16,411.0,152.0
17,411.0,152.0
18,411.0,152.0
19,411.0,152.0
20,411.0,152.0
21,411.0,152.0
22,411.0,152.0
23,411.0,152.0
24,411.0,152.0
25,411.0,152.0
26,411.0,152.0
27,411.0,152.0
28,411.0,152.0
29,411.0,152.0
30,411.0,152.0
31,411.0,152.0
32,411.0,152.0
33,411.0,152.0
34,411.0,152.0
35,411.0,152.0
36,411.0,152.0
37,411.0,152.0
38,411.0,152.0
39,411.0,152.0
40,411.0,152.0
41,411.0,152.0
42,411.0,152.0
43,411.0,152.0
44,411.0,152.0
45,411.0,152.0
46,411.0,152.0
47,411.0,152.0
48,411.0,152.0
49,411.0,152.0
50,411.0,152.0
51,411.0,152.0
52,411.0,152.0
53,411.0,152.0
54,411.0,152.0
55,411.0,152.0
56,411.0,152.0
57,411.0,152.0
58,411.0,152.0
59,411.0,152.0
60,411.0,152.0
61,411.0,152.0
62,411.0,152.0
63,411.0,152.0
64,411.0,226.0
65,414.0,228.0
66,355.0,227.0
67,369.0,216.0
68,387.0,225.0
69,382.0,225.0
70,382.0,225.0
71,382.0,225.0
72,382.0,225.0
73,382.0,225.0
74,382.0,225.0
75,382.0,225.0
76,382.0,225.0
77,382.0,225.0
78,382.0,225.0
79,382.0,225.0
80,382.0,225.0
81,382.0,225.0
82,382.0,225.0
83,382.0,225.0
84,382.0,225.0
85,382.0,225.0
86,382.0,225.0
87,382.0,225.0
88,382.0,225.0
89,382.0,225.0
90,382.0,225.0
91,382.0,225.0
92,382.0,225.0
93,382.0,225.0
94,382.0,225.0
95,382.0,225.0
96,382.0,225.0
97,382.0,225.0
98,382.0,225.0
99,382.0,225.0
100,382.0,225.0
101,382.0,225.0
102,382.0,225.0
103,382.0,225.0
104,382.0,225.0
105,382.0,225.0
106,382.0,225.0
107,382.0,225.0
108,382.0,225.0
109,382.0,225.0
110,382.0,225.0
111,382.0,225.0
112,382.0,225.0
113,382.0,225.0
114,382.0,225.0
115,382.0,225.0
116,382.0,225.0
117,382.0,225.0
118,382.0,225.0
119,382.0,225.0
120,382.0,225.0
121,382.0,225.0
122,382.0,225.0
123,382.0,225.0
124,382.0,225.0
125,382.0,225.0
126,382.0,225.0
127,382.0,225.0
128,382.0,225.0
129,382.0,225.0
130,382.0,225.0
131,382.0,225.0
132,382.0,225.0
133,382.0,225.0
134,382.0,225.0
135,382.0,225.0
136,382.0,225.0
137,382.0,225.0
138,382.0,225.0
139,382.0,225.0
140,382.0,225.0
141,382.0,225.0
142,382.0,225.0
143,382.0,225.0
