Turn,Happiness,Load
0,0,21
1,0,21
2,0,21
3,0,21
4,0,21
5,0,21
6,8,26
7,8,26
8,8,26
9,8,26
10,8,26
11,14,31
12,14,31
13,14,31
14,14,31
15,14,31
16,14,31
17,14,31
18,14,31
19,14,31
20,14,31
21,14,31
22,14,31
23,14,31
24,14,31
25,14,31
26,14,31
27,14,31
28,14,31
29,14,31
30,14,31
31,14,31
32,14,31
33,14,31
34,14,31
35,14,31
36,14,31
37,14,31
38,14,31
39,14,31
40,14,31
41,14,31
42,14,31
43,14,31
44,14,31
45,14,31
46,14,31
47,14,31
48,14,31
49,14,31
50,14,31
51,14,31
52,14,31
53,14,31
54,14,31
55,14,31
56,14,31
57,14,31
58,14,31
59,14,31
60,14,31
61,14,31
62,0,74
63,0,74
64,0,75
65,0,75
66,0,72
67,0,72
68,0,72
69,0,72
70,0,71
71,0,71
72,0,71
73,0,71
74,0,71
75,0,71
76,0,71
77,0,71
78,0,71
79,0,71
80,0,71
81,0,71
82,0,71
83,0,71
84,0,71
85,0,71
86,0,71
87,0,71
88,0,71
89,0,71
90,0,71
91,0,71
92,0,71
93,0,70
94,0,70
95,0,70
96,0,70
97,0,70
98,0,70
99,0,70
100,0,70
101,0,70
102,0,70
103,0,70
104,0,70
105,0,70
106,0,70
107,0,70
108,0,70
109,0,70
110,0,70
111,0,70
112,0,70
113,0,70
114,0,70
115,0,70
116,63,46
117,63,46
118,54,34
119,54,34
120,54,34
121,53,29
122,23,27
123,23,27
124,23,27
125,23,27
126,37,40
127,23,35
128,23,35
129,40,53
130,2,46
131,2,46
132,0,52
133,0,52
134,1,52
135,1,52
136,1,52
137,1,52
138,1,52
139,1,52
140,1,52
141,0,24
142,0,21
143,0,21
