Turn,Happiness,Load
0,0.0,148.0
1,0.0,148.0
2,0.0,148.0
3,0.0,148.0
4,0.0,148.0
5,0.0,148.0
6,0.0,148.0
7,0.0,148.0
8,0.0,148.0
9,0.0,148.0
10,0.0,148.0
11,0.0,148.0
12,0.0,148.0
13,0.0,148.0
14,0.0,148.0
15,0.0,148.0
16,0.0,148.0
17,0.0,148.0
18,0.0,148.0
19,0.0,148.0
20,0.0,148.0
21,0.0,148.0
22,0.0,148.0
23,0.0,148.0
24,0.0,148.0
25,0.0,148.0
26,0.0,148.0
27,0.0,148.0
28,0.0,148.0
29,0.0,148.0
30,0.0,148.0
31,0.0,148.0
32,0.0,148.0
33,0.0,148.0
34,0.0,181.0
35,4.0,181.0
36,4.0,181.0
37,4.0,181.0
38,4.0,181.0
39,4.0,214.0
40,7.0,214.0
41,7.0,214.0
42,7.0,214.0
43,7.0,214.0
44,7.0,214.0
45,7.0,214.0
46,7.0,214.0
47,7.0,214.0
48,7.0,214.0
49,7.0,214.0
50,7.0,214.0
51,7.0,214.0
52,7.0,214.0
53,7.0,214.0
54,7.0,214.0
55,7.0,214.0
56,7.0,214.0
57,7.0,214.0
58,7.0,214.0
59,7.0,214.0
60,7.0,214.0
61,7.0,214.0
62,7.0,214.0
63,7.0,214.0
64,7.0,214.0
65,7.0,214.0
66,7.0,214.0
67,7.0,214.0
68,7.0,214.0
69,7.0,214.0
70,7.0,214.0
71,7.0,214.0
72,7.0,214.0
73,7.0,214.0
74,7.0,214.0
75,7.0,214.0
76,7.0,214.0
77,7.0,214.0
78,7.0,214.0
79,7.0,214.0
80,7.0,214.0
81,7.0,214.0
82,7.0,214.0
83,7.0,214.0
84,7.0,214.0
85,7.0,214.0
86,7.0,214.0
87,7.0,214.0
88,7.0,214.0
89,7.0,214.0
90,7.0,214.0
91,7.0,214.0
92,7.0,214.0
93,7.0,214.0
94,7.0,214.0
95,7.0,214.0
96,7.0,214.0
97,7.0,214.0
98,7.0,214.0
99,7.0,214.0
100,7.0,214.0
101,7.0,214.0
102,7.0,214.0
103,7.0,214.0
104,7.0,214.0
105,7.0,214.0
106,7.0,214.0
107,7.0,214.0
108,7.0,214.0
109,7.0,214.0
110,7.0,214.0
111,7.0,214.0
112,7.0,214.0
113,7.0,214.0
114,7.0,214.0
115,7.0,214.0
116,7.0,214.0
117,7.0,214.0
118,7.0,214.0
119,7.0,214.0
120,7.0,214.0
121,7.0,214.0
122,7.0,214.0
123,7.0,214.0
124,7.0,214.0
125,7.0,214.0
126,7.0,214.0
127,7.0,214.0
128,7.0,214.0
129,7.0,214.0
130,7.0,214.0
131,7.0,214.0
132,7.0,214.0
133,7.0,221.0
134,13.0,221.0
135,13.0,221.0
136,13.0,221.0
137,13.0,221.0
138,13.0,221.0
139,13.0,221.0
140,13.0,221.0
141,13.0,221.0
142,13.0,161.0
143,0.0,161.0
