Turn,Happiness,Load
0,0,21
1,0,21
2,0,21
3,0,21
4,0,21
5,0,21
6,8,26
7,8,26
8,8,26
9,8,26
10,8,26
11,14,31
12,14,31
13,14,31
14,14,31
15,14,31
16,14,31
17,14,31
18,14,31
19,14,31
20,14,31
21,14,31
22,14,31
23,14,31
24,14,31
25,14,31
26,14,31
27,14,31
28,14,31
29,14,31
30,14,31
31,14,31
32,14,31
33,14,31
34,14,31
35,14,31
36,14,31
37,14,31
38,14,31
39,14,31
40,14,31
41,14,31
42,14,31
43,14,31
44,14,31
45,14,31
46,14,31
47,14,31
48,14,31
49,14,31
50,14,31
51,14,31
52,14,31
53,14,31
54,14,31
55,14,31
56,14,31
57,14,31
58,0,75
59,0,73
60,0,75
61,0,75
62,0,75
63,0,72
64,0,75
65,0,75
66,0,72
67,0,72
68,0,72
69,0,72
70,0,73
71,0,73
72,0,73
73,0,73
74,0,73
75,0,73
76,0,73
77,0,73
78,0,73
79,0,73
80,0,72
81,0,72
82,0,71
83,0,71
84,0,71
85,0,71
86,0,71
87,0,71
88,0,71
89,0,75
90,0,75
91,0,75
92,0,75
93,0,75
94,0,75
95,0,75
96,0,75
97,0,75
98,0,75
99,0,75
100,0,75
101,0,75
102,0,75
103,0,75
104,0,75
105,0,75
106,0,75
107,0,75
108,0,75
109,77,59
110,74,58
111,74,58
112,74,58
113,69,47
114,69,47
115,88,66
116,63,48
117,63,48
118,35,32
119,35,32
120,35,32
121,36,33
122,18,29
123,18,29
124,18,29
125,28,35
126,24,41
127,12,37
128,12,37
129,12,37
130,0,44
131,0,44
132,0,50
133,0,50
134,0,51
135,0,51
136,0,51
137,0,48
138,0,48
139,0,48
140,0,48
141,0,24
142,0,21
143,0,21
