Turn,Happiness,Load
0,0.0,153.0
1,0.0,153.0
2,0.0,153.0
3,0.0,153.0
4,0.0,153.0
5,0.0,153.0
6,0.0,153.0
7,0.0,153.0
8,0.0,181.0
9,3.0,181.0
10,3.0,181.0
11,3.0,181.0
12,3.0,181.0
13,3.0,181.0
14,3.0,181.0
15,3.0,182.0
16,7.0,182.0
17,7.0,182.0
18,7.0,182.0
19,7.0,182.0
20,7.0,182.0
21,7.0,182.0
22,7.0,188.0
23,10.0,188.0
24,10.0,188.0
25,10.0,188.0
26,10.0,188.0
27,10.0,188.0
28,10.0,188.0
29,10.0,188.0
30,10.0,188.0
31,10.0,188.0
32,10.0,188.0
33,10.0,188.0
34,10.0,188.0
35,10.0,188.0
36,10.0,188.0
37,10.0,188.0
38,10.0,188.0
39,10.0,188.0
40,10.0,188.0
41,10.0,188.0
42,10.0,188.0
43,10.0,188.0
44,10.0,188.0
45,10.0,188.0
46,10.0,188.0
47,10.0,188.0
48,10.0,188.0
49,10.0,188.0
50,10.0,188.0
51,10.0,188.0
52,10.0,188.0
53,10.0,188.0
54,10.0,188.0
55,10.0,188.0
56,10.0,188.0
57,10.0,188.0
58,10.0,188.0
59,10.0,188.0
60,10.0,188.0
61,10.0,188.0
62,10.0,194.0
63,13.0,194.0
64,13.0,194.0
65,13.0,194.0
66,13.0,194.0
67,13.0,194.0
68,13.0,194.0
69,13.0,194.0
70,13.0,194.0
71,13.0,194.0
72,13.0,194.0
73,13.0,194.0
74,13.0,200.0
75,21.0,200.0
76,21.0,200.0
77,21.0,200.0
78,21.0,200.0
79,21.0,200.0
80,21.0,200.0
81,21.0,200.0
82,21.0,200.0
83,21.0,200.0
84,21.0,200.0
85,21.0,200.0
86,21.0,200.0
87,21.0,200.0
88,21.0,200.0
89,21.0,200.0
90,21.0,200.0
91,21.0,200.0
92,21.0,200.0
93,21.0,200.0
94,21.0,200.0
95,21.0,200.0
96,21.0,200.0
97,21.0,200.0
98,21.0,200.0
99,21.0,200.0
100,21.0,200.0
101,21.0,200.0
102,21.0,200.0
103,21.0,200.0
104,21.0,200.0
105,21.0,200.0
106,21.0,200.0
107,21.0,200.0
108,21.0,200.0
109,21.0,200.0
110,21.0,200.0
111,21.0,200.0
112,21.0,200.0
113,21.0,200.0
114,21.0,200.0
115,21.0,200.0
116,21.0,200.0
117,21.0,200.0
118,21.0,200.0
119,21.0,200.0
120,21.0,215.0
121,18.0,221.0
122,12.0,225.0
123,19.0,237.0
124,11.0,215.0
125,7.0,203.0
126,4.0,206.0
127,8.0,206.0
128,8.0,206.0
129,8.0,223.0
130,16.0,222.0
131,11.0,222.0
132,11.0,222.0
133,11.0,222.0
134,11.0,222.0
135,11.0,228.0
136,15.0,194.0
137,4.0,197.0
138,0.0,201.0
139,4.0,201.0
140,4.0,201.0
141,4.0,181.0
142,0.0,181.0
143,0.0,181.0
