Turn,Happiness,Load
0,88,29
1,88,29
2,88,29
3,88,29
4,88,29
5,88,29
6,88,29
7,88,29
8,88,29
9,88,29
10,88,29
11,88,29
12,88,29
13,88,29
14,88,29
15,88,29
16,88,29
17,88,29
18,88,29
19,88,29
20,88,29
21,88,29
22,88,29
23,88,29
24,88,29
25,88,29
26,88,29
27,88,29
28,88,29
29,88,29
30,88,29
31,88,29
32,88,29
33,88,29
34,88,29
35,88,29
36,88,29
37,88,29
38,88,29
39,88,29
40,88,29
41,88,29
42,88,29
43,88,29
44,88,29
45,88,29
46,88,29
47,88,29
48,88,29
49,88,29
50,88,29
51,88,29
52,88,29
53,88,29
54,88,29
55,88,29
56,88,29
57,88,29
58,88,29
59,88,29
60,88,29
61,88,29
62,88,29
63,88,29
64,88,29
65,88,29
66,88,29
67,88,29
68,88,29
69,88,29
70,88,29
71,88,29
72,88,29
73,88,29
74,88,29
75,88,29
76,88,29
77,88,29
78,88,29
79,88,29
80,88,29
81,88,29
82,88,29
83,88,29
84,88,29
85,88,29
86,88,29
87,88,29
88,88,29
89,88,29
90,88,29
91,88,29
92,88,29
93,88,29
94,88,29
95,88,29
96,88,29
97,88,29
98,88,29
99,88,29
100,88,29
101,88,29
102,88,29
103,88,29
104,88,29
105,88,29
106,88,29
107,88,29
108,88,29
109,88,29
110,88,29
111,88,29
112,88,29
113,88,29
114,88,29
115,88,29
116,88,29
117,88,29
118,88,29
119,88,29
120,88,29
121,88,29
122,88,29
123,88,29
124,88,29
125,88,29
126,88,29
127,88,29
128,88,29
129,88,29
130,88,29
131,88,29
132,88,29
133,88,29
134,88,29
135,88,29
136,88,29
137,88,29
138,88,29
139,88,29
140,88,29
141,88,29
142,88,29
143,88,29
