Turn,Happiness,Load
0,435.0,149.0
1,435.0,149.0
2,435.0,149.0
3,435.0,149.0
4,435.0,149.0
5,435.0,149.0
6,435.0,149.0
7,435.0,149.0
8,435.0,149.0
9,435.0,149.0
10,435.0,149.0
11,435.0,149.0
12,435.0,149.0
13,435.0,149.0
14,435.0,149.0
15,435.0,149.0
16,435.0,149.0
17,435.0,149.0
18,435.0,149.0
19,435.0,149.0
20,435.0,149.0
21,435.0,149.0
22,435.0,149.0
23,435.0,149.0
24,435.0,149.0
25,435.0,149.0
26,435.0,149.0
27,435.0,149.0
28,435.0,149.0
29,435.0,149.0
30,435.0,149.0
31,435.0,149.0
32,435.0,149.0
33,435.0,149.0
34,435.0,149.0
35,435.0,149.0
36,435.0,149.0
37,435.0,149.0
38,435.0,149.0
39,435.0,149.0
40,435.0,149.0
41,435.0,149.0
42,435.0,149.0
43,435.0,149.0
44,435.0,149.0
45,435.0,149.0
46,435.0,149.0
47,435.0,149.0
48,435.0,149.0
49,435.0,149.0
50,435.0,149.0
51,435.0,149.0
52,435.0,149.0
53,435.0,219.0
54,88.0,219.0
55,88.0,219.0
56,88.0,219.0
57,88.0,221.0
58,95.0,230.0
59,116.0,230.0
60,116.0,230.0
61,116.0,230.0
62,116.0,230.0
63,116.0,230.0
64,116.0,230.0
65,116.0,230.0
66,116.0,230.0
67,116.0,230.0
68,116.0,230.0
69,116.0,230.0
70,116.0,230.0
71,116.0,230.0
72,116.0,230.0
73,116.0,237.0
74,123.0,237.0
75,123.0,237.0
76,123.0,240.0
77,134.0,240.0
78,134.0,240.0
79,134.0,240.0
80,134.0,240.0
81,134.0,240.0
82,134.0,240.0
83,134.0,240.0
84,134.0,240.0
85,134.0,240.0
86,134.0,240.0
87,134.0,240.0
88,134.0,240.0
89,134.0,240.0
90,134.0,240.0
91,134.0,251.0
92,134.0,251.0
93,134.0,251.0
94,134.0,251.0
95,134.0,251.0
96,134.0,251.0
97,134.0,251.0
98,134.0,251.0
99,134.0,251.0
100,134.0,251.0
101,134.0,251.0
102,134.0,251.0
103,134.0,251.0
104,134.0,251.0
105,134.0,251.0
106,134.0,251.0
107,134.0,251.0
108,134.0,251.0
109,134.0,251.0
110,134.0,251.0
111,134.0,256.0
112,144.0,256.0
113,144.0,256.0
114,144.0,256.0
115,144.0,256.0
116,144.0,256.0
117,144.0,256.0
118,144.0,256.0
119,144.0,256.0
120,144.0,256.0
121,144.0,256.0
122,144.0,256.0
123,144.0,256.0
124,144.0,256.0
125,144.0,256.0
126,144.0,256.0
127,144.0,256.0
128,144.0,256.0
129,144.0,256.0
130,144.0,256.0
131,144.0,256.0
132,144.0,256.0
133,144.0,256.0
134,144.0,256.0
135,144.0,256.0
136,144.0,256.0
137,144.0,256.0
138,144.0,256.0
139,144.0,256.0
140,144.0,256.0
141,144.0,256.0
142,144.0,256.0
143,144.0,256.0
