Turn,Happiness,Load
0,0,53
1,0,53
2,0,53
3,0,53
4,0,73
5,0,72
6,0,68
7,0,68
8,0,68
9,0,68
10,0,68
11,0,68
12,0,68
13,0,68
14,0,68
15,224,77
16,224,77
17,223,73
18,228,75
19,218,74
20,218,74
21,239,73
22,227,73
23,227,73
24,242,76
25,237,72
26,237,70
27,237,70
28,238,69
29,238,69
30,233,72
31,233,72
32,231,69
33,234,68
34,226,72
35,226,72
36,233,74
37,211,77
38,211,77
39,218,74
40,204,71
41,209,77
42,189,79
43,189,79
44,167,72
45,167,72
46,176,70
47,176,70
48,161,75
49,148,76
50,128,77
51,118,75
52,119,76
53,128,70
54,128,70
55,119,68
56,113,69
57,116,71
58,94,72
59,92,75
60,72,68
61,72,68
62,55,68
63,55,68
64,55,68
65,51,74
66,71,72
67,29,73
68,19,73
69,2,78
70,2,85
71,28,76
72,52,74
73,32,74
74,38,68
75,30,71
76,11,68
77,11,74
78,9,72
79,2,78
80,2,79
81,0,80
82,0,74
83,38,74
84,32,73
85,32,81
86,4,78
87,0,85
88,0,88
89,19,72
90,11,73
91,27,73
92,16,73
93,16,83
94,49,76
95,46,70
96,30,74
97,7,76
98,44,75
99,44,76
100,52,70
101,52,70
102,32,75
103,32,71
104,21,73
105,21,77
106,21,77
107,21,77
108,10,69
109,0,75
110,0,79
111,2,77
112,2,77
113,2,80
114,3,78
115,3,79
116,5,81
117,5,76
118,7,78
119,0,80
120,0,80
121,0,80
122,0,80
123,0,80
124,16,78
125,16,78
126,24,76
127,29,78
128,29,78
129,29,78
130,29,78
131,29,78
132,29,78
133,43,77
134,43,77
135,43,77
136,43,83
137,43,89
138,61,76
139,61,76
140,61,76
141,61,76
142,61,76
143,61,76
