Turn,Happiness,Load
0,0.0,258.0
1,0.0,258.0
2,0.0,266.0
3,0.0,307.0
4,15.0,326.0
5,19.0,333.0
6,21.0,350.0
7,27.0,334.0
8,29.0,340.0
9,29.0,369.0
10,447.0,377.0
11,447.0,364.0
12,441.0,365.0
13,441.0,405.0
14,446.0,409.0
15,445.0,390.0
16,449.0,416.0
17,448.0,411.0
18,435.0,409.0
19,471.0,407.0
20,465.0,398.0
21,485.0,390.0
22,487.0,406.0
23,479.0,397.0
24,493.0,403.0
25,502.0,411.0
26,490.0,404.0
27,493.0,423.0
28,509.0,409.0
29,502.0,407.0
30,502.0,384.0
31,511.0,417.0
32,503.0,411.0
33,502.0,387.0
34,487.0,386.0
35,500.0,394.0
36,504.0,398.0
37,484.0,388.0
38,458.0,383.0
39,464.0,391.0
40,489.0,404.0
41,474.0,391.0
42,464.0,402.0
43,452.0,365.0
44,440.0,378.0
45,427.0,366.0
46,433.0,395.0
47,411.0,389.0
48,419.0,421.0
49,408.0,407.0
50,409.0,399.0
51,412.0,413.0
52,399.0,396.0
53,354.0,374.0
54,445.0,355.0
55,380.0,369.0
56,387.0,362.0
57,361.0,390.0
58,338.0,380.0
59,414.0,391.0
60,397.0,374.0
61,346.0,387.0
62,332.0,388.0
63,331.0,402.0
64,417.0,408.0
65,407.0,406.0
66,399.0,371.0
67,435.0,357.0
68,440.0,382.0
69,417.0,388.0
70,401.0,432.0
71,373.0,399.0
72,442.0,391.0
73,439.0,395.0
74,413.0,401.0
75,400.0,403.0
76,392.0,399.0
77,400.0,399.0
78,411.0,414.0
79,408.0,413.0
80,408.0,403.0
81,416.0,416.0
82,410.0,419.0
83,401.0,421.0
84,398.0,414.0
85,399.0,399.0
86,423.0,389.0
87,426.0,390.0
88,417.0,393.0
89,423.0,399.0
90,413.0,420.0
91,419.0,409.0
92,418.0,375.0
93,577.0,369.0
94,558.0,373.0
95,553.0,390.0
96,532.0,400.0
97,563.0,399.0
98,552.0,401.0
99,534.0,399.0
100,537.0,395.0
101,534.0,401.0
102,526.0,376.0
103,613.0,373.0
104,557.0,382.0
105,548.0,384.0
106,517.0,396.0
107,564.0,397.0
108,527.0,418.0
109,508.0,423.0
110,563.0,410.0
111,512.0,408.0
112,541.0,396.0
113,548.0,364.0
114,514.0,368.0
115,495.0,368.0
116,495.0,385.0
117,485.0,383.0
118,461.0,401.0
119,411.0,403.0
120,353.0,399.0
121,347.0,397.0
122,335.0,398.0
123,297.0,405.0
124,264.0,409.0
125,249.0,415.0
126,244.0,435.0
127,235.0,424.0
128,603.0,420.0
129,459.0,399.0
130,521.0,401.0
131,453.0,412.0
132,424.0,414.0
133,523.0,381.0
134,519.0,369.0
135,516.0,376.0
136,468.0,380.0
137,457.0,395.0
138,439.0,418.0
139,397.0,410.0
140,382.0,400.0
141,379.0,400.0
142,379.0,400.0
143,379.0,400.0
