Turn,Happiness,Load
0,0,45
1,0,45
2,0,45
3,0,45
4,16,74
5,11,77
6,13,83
7,9,88
8,5,90
9,5,84
10,6,80
11,2,81
12,0,87
13,0,87
14,0,75
15,0,79
16,0,86
17,1,88
18,5,90
19,1,79
20,1,77
21,1,85
22,1,85
23,1,85
24,1,85
25,1,93
26,1,93
27,1,93
28,1,93
29,1,93
30,1,93
31,1,93
32,1,93
33,0,83
34,0,81
35,0,87
36,0,87
37,0,87
38,0,87
39,0,87
40,0,94
41,0,94
42,0,79
43,0,84
44,0,91
45,0,91
46,0,91
47,0,91
48,0,91
49,0,91
50,0,91
51,0,91
52,0,91
53,7,82
54,4,76
55,5,89
56,5,89
57,5,89
58,5,89
59,5,89
60,5,89
61,5,89
62,5,75
63,0,75
64,1,81
65,1,81
66,1,81
67,1,81
68,1,81
69,1,81
70,1,81
71,1,81
72,3,91
73,3,91
74,3,91
75,38,79
76,53,79
77,86,77
78,71,75
79,71,75
80,73,76
81,66,75
82,91,79
83,80,84
84,83,80
85,71,83
86,71,83
87,80,84
88,82,89
89,92,83
90,96,80
91,104,87
92,98,82
93,90,83
94,90,77
95,93,80
96,97,84
97,97,84
98,97,84
99,97,84
100,113,84
101,120,78
102,118,81
103,108,76
104,107,77
105,113,78
106,114,78
107,114,83
108,114,83
109,114,83
110,114,90
111,59,66
112,49,79
113,41,89
114,26,79
115,15,81
116,7,86
117,7,83
118,0,88
119,0,75
120,0,90
121,0,75
122,0,79
123,0,80
124,0,77
125,0,83
126,0,83
127,5,80
128,2,83
129,2,83
130,0,80
131,0,81
132,0,80
133,0,91
134,0,88
135,0,89
136,0,89
137,0,85
138,17,82
139,9,75
140,0,75
141,0,75
142,0,75
143,0,75
