Turn,Happiness,Load
0,0.0,236.0
1,0.0,236.0
2,0.0,236.0
3,0.0,261.0
4,0.0,294.0
5,4.0,327.0
6,12.0,393.0
7,29.0,403.0
8,35.0,378.0
9,225.0,381.0
10,611.0,394.0
11,554.0,388.0
12,548.0,406.0
13,531.0,415.0
14,533.0,429.0
15,523.0,361.0
16,632.0,352.0
17,628.0,357.0
18,624.0,369.0
19,620.0,390.0
20,608.0,396.0
21,607.0,431.0
22,612.0,372.0
23,743.0,370.0
24,708.0,411.0
25,687.0,423.0
26,664.0,433.0
27,639.0,332.0
28,598.0,341.0
29,587.0,343.0
30,581.0,391.0
31,573.0,411.0
32,579.0,425.0
33,576.0,407.0
34,574.0,398.0
35,562.0,406.0
36,569.0,406.0
37,565.0,421.0
38,539.0,431.0
39,528.0,416.0
40,514.0,404.0
41,516.0,410.0
42,504.0,407.0
43,498.0,424.0
44,479.0,415.0
45,446.0,424.0
46,429.0,413.0
47,415.0,409.0
48,396.0,410.0
49,382.0,411.0
50,382.0,398.0
51,377.0,361.0
52,366.0,363.0
53,336.0,367.0
54,320.0,397.0
55,302.0,404.0
56,300.0,407.0
57,295.0,423.0
58,287.0,422.0
59,291.0,425.0
60,289.0,421.0
61,274.0,444.0
62,267.0,449.0
63,256.0,372.0
64,409.0,382.0
65,400.0,396.0
66,376.0,408.0
67,381.0,416.0
68,381.0,365.0
69,428.0,387.0
70,412.0,386.0
71,412.0,398.0
72,403.0,395.0
73,414.0,426.0
74,398.0,427.0
75,408.0,414.0
76,402.0,413.0
77,402.0,410.0
78,399.0,410.0
79,399.0,416.0
80,397.0,427.0
81,396.0,379.0
82,592.0,387.0
83,569.0,394.0
84,520.0,382.0
85,550.0,393.0
86,545.0,358.0
87,523.0,387.0
88,511.0,400.0
89,510.0,409.0
90,513.0,407.0
91,505.0,420.0
92,505.0,419.0
93,500.0,429.0
94,495.0,422.0
95,484.0,406.0
96,481.0,413.0
97,502.0,406.0
98,491.0,410.0
99,492.0,400.0
100,490.0,404.0
101,498.0,419.0
102,472.0,417.0
103,484.0,391.0
104,522.0,377.0
105,512.0,364.0
106,504.0,336.0
107,404.0,348.0
108,436.0,340.0
109,371.0,365.0
110,348.0,342.0
111,297.0,346.0
112,295.0,349.0
113,293.0,371.0
114,282.0,389.0
115,260.0,389.0
116,250.0,393.0
117,248.0,394.0
118,238.0,395.0
119,240.0,418.0
120,209.0,411.0
121,208.0,409.0
122,205.0,410.0
123,210.0,390.0
124,203.0,398.0
125,191.0,393.0
126,191.0,391.0
127,195.0,399.0
128,194.0,326.0
129,159.0,344.0
130,197.0,353.0
131,182.0,363.0
132,175.0,400.0
133,164.0,408.0
134,155.0,416.0
135,142.0,415.0
136,138.0,401.0
137,138.0,357.0
138,178.0,373.0
139,165.0,375.0
140,165.0,325.0
141,123.0,285.0
142,94.0,273.0
143,88.0,241.0
