Turn,Happiness,Load
0,0,51
1,0,51
2,0,51
3,0,51
4,0,71
5,0,67
6,10,82
7,10,75
8,10,75
9,10,82
10,10,84
11,8,85
12,7,78
13,0,75
14,0,86
15,0,75
16,0,78
17,0,82
18,0,85
19,0,75
20,0,85
21,0,81
22,0,95
23,0,83
24,0,83
25,0,85
26,0,85
27,0,83
28,0,82
29,0,75
30,0,94
31,0,91
32,0,75
33,0,76
34,0,82
35,0,90
36,0,90
37,0,94
38,0,81
39,0,75
40,0,75
41,0,78
42,0,79
43,0,83
44,6,83
45,6,78
46,12,77
47,0,75
48,0,80
49,3,83
50,2,76
51,2,81
52,5,80
53,5,82
54,7,85
55,11,81
56,2,79
57,6,75
58,7,79
59,10,77
60,10,81
61,10,81
62,10,81
63,10,81
64,10,81
65,40,81
66,46,78
67,42,82
68,40,81
69,40,81
70,40,81
71,41,88
72,23,72
73,23,72
74,23,72
75,23,72
76,23,72
77,78,82
78,71,77
79,64,79
80,64,79
81,64,79
82,76,77
83,77,78
84,77,78
85,77,78
86,77,78
87,77,78
88,87,76
89,87,76
90,87,76
91,87,81
92,92,83
93,92,83
94,92,83
95,160,81
96,154,79
97,170,78
98,185,77
99,197,81
100,197,81
101,106,59
102,83,62
103,83,62
104,177,76
105,117,65
106,117,67
107,71,67
108,60,62
109,60,65
110,42,80
111,36,77
112,0,50
113,0,50
114,0,57
115,0,65
116,0,69
117,0,69
118,0,76
119,0,95
120,12,78
121,0,75
122,0,75
123,0,90
124,0,75
125,0,75
126,0,74
127,0,74
128,0,74
129,12,79
130,0,75
131,0,75
132,12,79
133,12,80
134,0,75
135,0,75
136,0,86
137,0,84
138,0,91
139,0,79
140,0,73
141,0,73
142,0,74
143,0,74
