Turn,Happiness,Load
0,0.0,268.0
1,0.0,268.0
2,0.0,274.0
3,0.0,294.0
4,10.0,331.0
5,18.0,362.0
6,21.0,361.0
7,16.0,375.0
8,19.0,383.0
9,414.0,383.0
10,393.0,413.0
11,390.0,439.0
12,398.0,426.0
13,425.0,415.0
14,419.0,402.0
15,466.0,429.0
16,454.0,417.0
17,450.0,423.0
18,453.0,412.0
19,503.0,393.0
20,487.0,394.0
21,488.0,423.0
22,453.0,417.0
23,458.0,392.0
24,499.0,407.0
25,479.0,408.0
26,470.0,409.0
27,507.0,425.0
28,474.0,431.0
29,474.0,418.0
30,475.0,394.0
31,448.0,407.0
32,423.0,418.0
33,424.0,408.0
34,425.0,411.0
35,419.0,418.0
36,400.0,425.0
37,395.0,419.0
38,438.0,439.0
39,423.0,416.0
40,418.0,416.0
41,411.0,423.0
42,409.0,407.0
43,412.0,426.0
44,390.0,399.0
45,380.0,403.0
46,395.0,401.0
47,390.0,407.0
48,378.0,418.0
49,357.0,421.0
50,316.0,422.0
51,325.0,418.0
52,324.0,409.0
53,265.0,426.0
54,281.0,436.0
55,258.0,424.0
56,253.0,413.0
57,247.0,416.0
58,264.0,416.0
59,242.0,414.0
60,236.0,386.0
61,228.0,410.0
62,221.0,406.0
63,226.0,408.0
64,225.0,418.0
65,226.0,406.0
66,232.0,413.0
67,317.0,387.0
68,312.0,385.0
69,320.0,396.0
70,310.0,438.0
71,329.0,425.0
72,366.0,410.0
73,362.0,417.0
74,366.0,423.0
75,365.0,422.0
76,371.0,429.0
77,371.0,411.0
78,365.0,401.0
79,439.0,387.0
80,453.0,414.0
81,438.0,419.0
82,433.0,406.0
83,506.0,418.0
84,489.0,426.0
85,478.0,400.0
86,478.0,392.0
87,464.0,399.0
88,459.0,398.0
89,440.0,415.0
90,406.0,399.0
91,409.0,424.0
92,396.0,390.0
93,438.0,386.0
94,424.0,395.0
95,402.0,390.0
96,387.0,412.0
97,368.0,395.0
98,365.0,378.0
99,329.0,423.0
100,306.0,409.0
101,311.0,403.0
102,328.0,407.0
103,316.0,415.0
104,301.0,420.0
105,289.0,391.0
106,287.0,415.0
107,294.0,393.0
108,255.0,386.0
109,258.0,381.0
110,265.0,372.0
111,250.0,396.0
112,239.0,417.0
113,234.0,413.0
114,229.0,406.0
115,222.0,406.0
116,218.0,383.0
117,214.0,400.0
118,214.0,419.0
119,268.0,430.0
120,263.0,439.0
121,261.0,417.0
122,224.0,432.0
123,199.0,409.0
124,197.0,417.0
125,185.0,408.0
126,180.0,391.0
127,171.0,426.0
128,208.0,430.0
129,187.0,399.0
130,179.0,396.0
131,176.0,373.0
132,171.0,357.0
133,142.0,380.0
134,142.0,380.0
135,143.0,382.0
136,146.0,416.0
137,136.0,401.0
138,125.0,403.0
139,130.0,352.0
140,125.0,329.0
141,92.0,297.0
142,80.0,285.0
143,69.0,278.0
