Turn,Happiness,Load
0,0,55
1,0,55
2,0,55
3,0,55
4,0,55
5,0,71
6,0,75
7,8,78
8,7,75
9,0,70
10,0,70
11,0,70
12,0,70
13,0,70
14,0,70
15,0,70
16,0,70
17,0,70
18,0,70
19,0,70
20,0,70
21,0,70
22,0,70
23,0,70
24,0,70
25,112,75
26,105,75
27,98,83
28,98,83
29,98,83
30,98,83
31,98,83
32,98,83
33,98,83
34,98,83
35,98,83
36,98,83
37,67,78
38,70,82
39,70,82
40,70,83
41,61,75
42,53,75
43,44,78
44,38,89
45,32,81
46,28,80
47,23,83
48,19,81
49,16,83
50,13,77
51,16,78
52,11,82
53,6,82
54,2,79
55,3,78
56,3,83
57,2,84
58,3,80
59,3,84
60,0,85
61,0,85
62,0,85
63,6,78
64,7,92
65,4,77
66,4,84
67,0,89
68,0,85
69,0,85
70,0,85
71,0,85
72,0,85
73,0,85
74,11,76
75,18,77
76,20,85
77,5,81
78,8,79
79,5,82
80,6,86
81,7,75
82,10,75
83,15,79
84,16,78
85,19,80
86,19,78
87,19,75
88,19,77
89,29,85
90,29,85
91,28,84
92,27,86
93,29,81
94,30,80
95,30,80
96,30,80
97,30,80
98,30,80
99,68,75
100,65,76
101,67,82
102,66,79
103,65,76
104,69,81
105,69,81
106,73,77
107,76,79
108,75,82
109,75,82
110,75,82
111,79,81
112,71,81
113,69,80
114,69,78
115,62,84
116,63,85
117,59,82
118,59,82
119,65,80
120,58,87
121,52,86
122,50,84
123,50,84
124,50,84
125,50,84
126,50,84
127,47,80
128,47,80
129,50,78
130,50,79
131,50,79
132,39,79
133,39,79
134,39,80
135,39,80
136,39,80
137,39,80
138,39,80
139,39,80
140,39,80
141,39,80
142,39,80
143,39,80
