Turn,Happiness,Load
0,0.0,251.0
1,0.0,251.0
2,0.0,262.0
3,0.0,266.0
4,0.0,316.0
5,321.0,332.0
6,319.0,349.0
7,302.0,374.0
8,440.0,387.0
9,429.0,389.0
10,421.0,406.0
11,405.0,414.0
12,399.0,413.0
13,393.0,419.0
14,387.0,428.0
15,387.0,385.0
16,450.0,397.0
17,438.0,395.0
18,459.0,394.0
19,449.0,405.0
20,428.0,399.0
21,429.0,404.0
22,427.0,388.0
23,422.0,391.0
24,422.0,403.0
25,421.0,409.0
26,425.0,404.0
27,424.0,403.0
28,425.0,400.0
29,443.0,397.0
30,446.0,402.0
31,446.0,406.0
32,429.0,418.0
33,419.0,415.0
34,405.0,403.0
35,420.0,397.0
36,419.0,393.0
37,419.0,400.0
38,419.0,406.0
39,415.0,401.0
40,415.0,408.0
41,408.0,381.0
42,382.0,393.0
43,363.0,394.0
44,346.0,395.0
45,346.0,396.0
46,342.0,390.0
47,336.0,407.0
48,330.0,405.0
49,292.0,413.0
50,288.0,388.0
51,315.0,386.0
52,300.0,395.0
53,291.0,412.0
54,259.0,408.0
55,245.0,395.0
56,247.0,394.0
57,247.0,397.0
58,250.0,405.0
59,242.0,408.0
60,236.0,408.0
61,248.0,421.0
62,248.0,425.0
63,249.0,407.0
64,214.0,409.0
65,207.0,409.0
66,210.0,402.0
67,214.0,404.0
68,217.0,399.0
69,220.0,396.0
70,226.0,402.0
71,221.0,397.0
72,213.0,402.0
73,237.0,402.0
74,243.0,408.0
75,246.0,391.0
76,262.0,407.0
77,252.0,400.0
78,253.0,396.0
79,260.0,396.0
80,260.0,407.0
81,264.0,400.0
82,270.0,396.0
83,377.0,422.0
84,367.0,393.0
85,368.0,387.0
86,357.0,401.0
87,353.0,400.0
88,346.0,409.0
89,344.0,420.0
90,349.0,412.0
91,339.0,407.0
92,346.0,386.0
93,485.0,401.0
94,471.0,405.0
95,456.0,411.0
96,448.0,406.0
97,434.0,409.0
98,427.0,406.0
99,426.0,395.0
100,399.0,406.0
101,379.0,395.0
102,384.0,409.0
103,384.0,384.0
104,370.0,389.0
105,367.0,386.0
106,352.0,398.0
107,320.0,407.0
108,318.0,408.0
109,308.0,398.0
110,273.0,407.0
111,263.0,405.0
112,263.0,423.0
113,255.0,418.0
114,252.0,412.0
115,255.0,399.0
116,237.0,407.0
117,239.0,411.0
118,239.0,408.0
119,237.0,405.0
120,214.0,402.0
121,215.0,409.0
122,214.0,413.0
123,214.0,407.0
124,214.0,412.0
125,214.0,400.0
126,204.0,395.0
127,203.0,415.0
128,176.0,405.0
129,183.0,419.0
130,165.0,410.0
131,151.0,424.0
132,149.0,420.0
133,149.0,424.0
134,143.0,391.0
135,153.0,406.0
136,140.0,415.0
137,152.0,420.0
138,143.0,408.0
139,166.0,387.0
140,157.0,387.0
141,157.0,387.0
142,157.0,387.0
143,157.0,387.0
