Turn,Happiness,Load
0,0,67
1,0,67
2,0,67
3,0,74
4,0,72
5,0,73
6,251,78
7,240,84
8,235,79
9,222,81
10,215,88
11,212,89
12,217,82
13,217,76
14,210,77
15,221,73
16,224,72
17,202,75
18,195,77
19,235,72
20,222,73
21,223,77
22,225,78
23,235,84
24,239,81
25,240,78
26,236,79
27,225,80
28,224,81
29,242,80
30,240,78
31,242,78
32,231,79
33,230,86
34,230,86
35,229,83
36,229,83
37,221,75
38,208,74
39,207,77
40,225,80
41,219,77
42,201,74
43,183,74
44,167,77
45,160,78
46,167,80
47,159,74
48,170,77
49,170,77
50,164,74
51,150,76
52,147,79
53,152,83
54,136,76
55,78,80
56,72,80
57,67,79
58,86,80
59,113,77
60,84,74
61,84,74
62,75,76
63,69,77
64,61,81
65,47,80
66,77,82
67,73,81
68,42,78
69,37,79
70,37,79
71,49,79
72,45,75
73,45,75
74,42,76
75,16,77
76,12,78
77,12,79
78,10,80
79,8,76
80,27,79
81,25,80
82,26,82
83,23,79
84,28,79
85,3,83
86,3,83
87,15,77
88,16,77
89,15,77
90,14,77
91,14,84
92,11,75
93,12,76
94,9,76
95,29,80
96,10,78
97,11,79
98,20,80
99,25,77
100,23,82
101,23,82
102,26,80
103,25,81
104,25,78
105,25,78
106,25,78
107,25,78
108,29,76
109,80,79
110,62,77
111,68,78
112,36,80
113,38,79
114,76,83
115,78,77
116,83,80
117,55,79
118,62,80
119,62,76
120,95,74
121,69,75
122,106,74
123,107,75
124,56,78
125,56,80
126,61,81
127,58,81
128,80,82
129,94,81
130,73,81
131,80,79
132,79,87
133,88,82
134,97,81
135,97,81
136,97,81
137,97,81
138,105,76
139,105,76
140,105,76
141,105,76
142,105,76
143,105,76
