Turn,Happiness,Load
0,0.0,259.0
1,0.0,259.0
2,0.0,259.0
3,0.0,276.0
4,5.0,287.0
5,10.0,341.0
6,27.0,364.0
7,33.0,397.0
8,167.0,399.0
9,361.0,405.0
10,364.0,401.0
11,357.0,398.0
12,397.0,374.0
13,441.0,354.0
14,454.0,362.0
15,443.0,381.0
16,452.0,395.0
17,461.0,393.0
18,456.0,392.0
19,462.0,391.0
20,469.0,387.0
21,485.0,392.0
22,479.0,385.0
23,486.0,407.0
24,504.0,410.0
25,490.0,375.0
26,498.0,404.0
27,489.0,367.0
28,503.0,404.0
29,510.0,400.0
30,511.0,407.0
31,507.0,405.0
32,518.0,408.0
33,522.0,389.0
34,515.0,399.0
35,488.0,400.0
36,494.0,430.0
37,475.0,420.0
38,465.0,398.0
39,469.0,390.0
40,462.0,413.0
41,463.0,419.0
42,459.0,412.0
43,462.0,409.0
44,452.0,380.0
45,446.0,383.0
46,449.0,368.0
47,422.0,370.0
48,415.0,389.0
49,401.0,404.0
50,384.0,378.0
51,397.0,403.0
52,388.0,389.0
53,371.0,352.0
54,372.0,367.0
55,372.0,392.0
56,361.0,400.0
57,360.0,401.0
58,354.0,419.0
59,362.0,413.0
60,362.0,394.0
61,375.0,392.0
62,381.0,388.0
63,398.0,401.0
64,397.0,399.0
65,400.0,404.0
66,395.0,398.0
67,406.0,399.0
68,435.0,415.0
69,434.0,381.0
70,442.0,365.0
71,424.0,386.0
72,416.0,414.0
73,435.0,422.0
74,437.0,417.0
75,443.0,433.0
76,504.0,406.0
77,495.0,386.0
78,490.0,398.0
79,524.0,406.0
80,521.0,420.0
81,544.0,420.0
82,538.0,394.0
83,539.0,384.0
84,546.0,383.0
85,548.0,386.0
86,548.0,360.0
87,538.0,360.0
88,547.0,369.0
89,543.0,359.0
90,564.0,381.0
91,566.0,404.0
92,556.0,402.0
93,575.0,408.0
94,564.0,405.0
95,548.0,403.0
96,544.0,415.0
97,557.0,419.0
98,566.0,392.0
99,563.0,406.0
100,551.0,389.0
101,553.0,386.0
102,551.0,396.0
103,578.0,372.0
104,566.0,400.0
105,571.0,396.0
106,546.0,399.0
107,550.0,391.0
108,500.0,412.0
109,532.0,407.0
110,530.0,403.0
111,567.0,403.0
112,571.0,397.0
113,518.0,414.0
114,522.0,395.0
115,517.0,391.0
116,515.0,391.0
117,521.0,410.0
118,525.0,408.0
119,469.0,412.0
120,462.0,420.0
121,447.0,411.0
122,447.0,401.0
123,452.0,370.0
124,543.0,384.0
125,496.0,393.0
126,520.0,372.0
127,441.0,385.0
128,433.0,391.0
129,451.0,401.0
130,446.0,417.0
131,441.0,405.0
132,446.0,418.0
133,439.0,424.0
134,440.0,419.0
135,437.0,410.0
136,445.0,372.0
137,476.0,388.0
138,475.0,382.0
139,500.0,373.0
140,485.0,337.0
141,392.0,337.0
142,392.0,337.0
143,392.0,337.0
