Turn,Happiness,Load
0,0,70
1,0,70
2,0,70
3,0,70
4,0,69
5,0,75
6,0,75
7,0,75
8,82,74
9,241,78
10,233,80
11,236,81
12,237,82
13,237,83
14,247,76
15,249,82
16,380,80
17,357,80
18,348,84
19,328,82
20,341,80
21,337,81
22,402,76
23,366,77
24,364,79
25,440,76
26,430,76
27,393,77
28,367,54
29,367,67
30,353,75
31,331,79
32,316,80
33,370,78
34,377,78
35,371,76
36,343,77
37,324,81
38,308,86
39,416,76
40,390,60
41,354,79
42,328,83
43,309,54
44,310,59
45,247,45
46,277,62
47,229,80
48,189,81
49,168,80
50,130,80
51,146,78
52,91,75
53,92,76
54,84,78
55,65,75
56,48,75
57,40,75
58,17,75
59,17,75
60,25,79
61,25,79
62,25,79
63,11,76
64,17,78
65,14,79
66,14,78
67,7,75
68,4,75
69,1,80
70,7,81
71,7,81
72,5,79
73,0,75
74,8,77
75,8,77
76,8,81
77,14,88
78,14,88
79,5,79
80,0,78
81,0,80
82,0,79
83,1,83
84,1,78
85,1,78
86,1,86
87,1,86
88,0,75
89,0,75
90,0,82
91,0,73
92,6,78
93,6,78
94,0,80
95,0,80
96,0,79
97,0,77
98,0,74
99,0,74
100,0,80
101,0,76
102,3,81
103,12,86
104,0,82
105,0,81
106,12,82
107,12,82
108,0,75
109,0,79
110,22,83
111,11,81
112,0,75
113,0,75
114,0,75
115,0,75
116,0,75
117,0,75
118,12,77
119,13,82
120,11,81
121,11,76
122,7,78
123,23,80
124,22,78
125,23,79
126,23,79
127,31,81
128,0,75
129,12,76
130,0,76
131,0,75
132,12,79
133,16,79
134,4,81
135,5,77
136,4,82
137,15,79
138,0,75
139,0,75
140,0,75
141,0,75
142,0,75
143,0,75
