Turn,Happiness,Load
0,0.0,257.0
1,0.0,257.0
2,0.0,257.0
3,0.0,282.0
4,13.0,307.0
5,27.0,368.0
6,66.0,383.0
7,119.0,397.0
8,401.0,401.0
9,429.0,397.0
10,435.0,406.0
11,441.0,406.0
12,443.0,418.0
13,446.0,414.0
14,442.0,421.0
15,437.0,411.0
16,435.0,407.0
17,419.0,412.0
18,565.0,390.0
19,605.0,412.0
20,586.0,418.0
21,591.0,387.0
22,616.0,398.0
23,610.0,397.0
24,627.0,398.0
25,619.0,421.0
26,589.0,424.0
27,596.0,369.0
28,690.0,367.0
29,681.0,408.0
30,658.0,389.0
31,634.0,414.0
32,613.0,417.0
33,599.0,415.0
34,579.0,420.0
35,570.0,379.0
36,655.0,379.0
37,619.0,392.0
38,611.0,398.0
39,587.0,379.0
40,566.0,383.0
41,579.0,398.0
42,551.0,416.0
43,531.0,440.0
44,519.0,429.0
45,525.0,430.0
46,494.0,421.0
47,454.0,400.0
48,452.0,415.0
49,434.0,429.0
50,425.0,392.0
51,451.0,379.0
52,440.0,383.0
53,428.0,401.0
54,366.0,410.0
55,363.0,403.0
56,345.0,375.0
57,328.0,402.0
58,325.0,403.0
59,319.0,396.0
60,341.0,409.0
61,332.0,381.0
62,344.0,343.0
63,282.0,360.0
64,307.0,375.0
65,316.0,390.0
66,332.0,397.0
67,331.0,402.0
68,375.0,415.0
69,363.0,415.0
70,363.0,427.0
71,372.0,368.0
72,462.0,388.0
73,462.0,400.0
74,460.0,372.0
75,516.0,391.0
76,475.0,401.0
77,472.0,401.0
78,481.0,404.0
79,491.0,390.0
80,533.0,404.0
81,521.0,391.0
82,518.0,406.0
83,536.0,393.0
84,505.0,385.0
85,523.0,376.0
86,490.0,390.0
87,517.0,417.0
88,522.0,374.0
89,512.0,390.0
90,521.0,397.0
91,507.0,397.0
92,514.0,389.0
93,535.0,395.0
94,551.0,412.0
95,550.0,402.0
96,540.0,415.0
97,539.0,369.0
98,521.0,392.0
99,514.0,391.0
100,466.0,412.0
101,470.0,382.0
102,460.0,405.0
103,462.0,409.0
104,471.0,392.0
105,438.0,398.0
106,444.0,390.0
107,448.0,390.0
108,424.0,363.0
109,390.0,390.0
110,404.0,422.0
111,413.0,370.0
112,359.0,393.0
113,388.0,395.0
114,380.0,385.0
115,355.0,393.0
116,365.0,391.0
117,366.0,387.0
118,341.0,419.0
119,347.0,382.0
120,325.0,399.0
121,313.0,388.0
122,325.0,385.0
123,305.0,399.0
124,337.0,377.0
125,282.0,399.0
126,299.0,398.0
127,276.0,379.0
128,266.0,395.0
129,272.0,374.0
130,262.0,383.0
131,275.0,371.0
132,274.0,359.0
133,233.0,389.0
134,250.0,423.0
135,311.0,400.0
136,281.0,402.0
137,259.0,408.0
138,250.0,401.0
139,289.0,384.0
140,222.0,350.0
141,191.0,311.0
142,120.0,267.0
143,49.0,257.0
