Turn,Happiness,Load
0,0,47
1,0,47
2,0,47
3,0,47
4,5,55
5,4,78
6,7,79
7,37,78
8,61,79
9,70,77
10,62,77
11,61,82
12,61,82
13,61,82
14,73,79
15,77,88
16,73,78
17,74,85
18,67,79
19,72,84
20,61,85
21,61,85
22,70,84
23,72,88
24,76,87
25,69,78
26,77,82
27,80,82
28,82,90
29,81,83
30,90,86
31,73,83
32,77,85
33,75,84
34,72,88
35,79,76
36,65,75
37,57,79
38,50,80
39,50,83
40,67,80
41,64,87
42,82,75
43,75,81
44,68,78
45,61,81
46,52,75
47,44,75
48,57,77
49,52,76
50,58,81
51,58,81
52,49,75
53,50,83
54,53,79
55,53,83
56,48,86
57,63,77
58,67,82
59,59,78
60,60,81
61,66,80
62,62,87
63,65,81
64,74,78
65,71,83
66,71,85
67,88,83
68,97,79
69,97,89
70,115,82
71,113,82
72,109,87
73,113,84
74,116,85
75,115,83
76,117,89
77,129,80
78,151,78
79,120,83
80,130,89
81,142,83
82,155,91
83,141,86
84,117,87
85,114,89
86,119,88
87,124,86
88,135,79
89,143,84
90,146,82
91,151,87
92,165,76
93,158,81
94,124,80
95,124,80
96,113,79
97,113,79
98,145,79
99,150,76
100,148,76
101,152,83
102,149,90
103,123,80
104,136,87
105,167,75
106,188,75
107,180,76
108,196,82
109,182,81
110,156,87
111,163,85
112,158,83
113,172,76
114,163,79
115,139,83
116,137,83
117,135,80
118,123,76
119,122,79
120,135,80
121,128,76
122,136,82
123,118,76
124,130,77
125,131,76
126,135,82
127,108,86
128,111,85
129,114,81
130,105,82
131,115,77
132,102,77
133,98,78
134,91,84
135,94,83
136,94,83
137,75,80
138,81,82
139,71,77
140,64,73
141,65,62
142,63,56
143,57,44
