Turn,Happiness,Load
0,0.0,249.0
1,0.0,249.0
2,0.0,249.0
3,0.0,249.0
4,0.0,258.0
5,4.0,316.0
6,22.0,348.0
7,35.0,407.0
8,410.0,407.0
9,401.0,410.0
10,396.0,407.0
11,400.0,397.0
12,395.0,401.0
13,401.0,402.0
14,411.0,402.0
15,412.0,413.0
16,402.0,406.0
17,435.0,404.0
18,435.0,397.0
19,441.0,409.0
20,448.0,415.0
21,458.0,394.0
22,469.0,423.0
23,478.0,414.0
24,487.0,419.0
25,465.0,413.0
26,451.0,406.0
27,462.0,394.0
28,450.0,398.0
29,463.0,421.0
30,461.0,380.0
31,445.0,394.0
32,457.0,391.0
33,467.0,398.0
34,478.0,424.0
35,481.0,424.0
36,489.0,414.0
37,474.0,381.0
38,476.0,414.0
39,467.0,404.0
40,471.0,378.0
41,490.0,384.0
42,479.0,358.0
43,460.0,341.0
44,409.0,363.0
45,397.0,394.0
46,419.0,403.0
47,412.0,410.0
48,418.0,372.0
49,380.0,390.0
50,386.0,399.0
51,393.0,383.0
52,322.0,413.0
53,327.0,407.0
54,324.0,378.0
55,300.0,383.0
56,296.0,372.0
57,201.0,390.0
58,216.0,361.0
59,184.0,373.0
60,198.0,392.0
61,193.0,404.0
62,208.0,388.0
63,211.0,390.0
64,226.0,417.0
65,241.0,405.0
66,225.0,426.0
67,237.0,401.0
68,284.0,421.0
69,300.0,408.0
70,270.0,409.0
71,283.0,410.0
72,295.0,398.0
73,295.0,397.0
74,312.0,391.0
75,275.0,414.0
76,296.0,395.0
77,295.0,403.0
78,290.0,393.0
79,294.0,404.0
80,309.0,404.0
81,319.0,404.0
82,327.0,375.0
83,439.0,396.0
84,438.0,398.0
85,424.0,413.0
86,464.0,422.0
87,467.0,395.0
88,463.0,400.0
89,471.0,404.0
90,483.0,410.0
91,482.0,402.0
92,492.0,373.0
93,480.0,355.0
94,437.0,366.0
95,446.0,386.0
96,457.0,395.0
97,458.0,404.0
98,456.0,375.0
99,457.0,374.0
100,433.0,370.0
101,416.0,357.0
102,390.0,355.0
103,365.0,375.0
104,394.0,365.0
105,350.0,340.0
106,307.0,370.0
107,338.0,385.0
108,348.0,369.0
109,300.0,394.0
110,320.0,390.0
111,276.0,384.0
112,299.0,380.0
113,304.0,394.0
114,329.0,387.0
115,284.0,389.0
116,256.0,406.0
117,275.0,403.0
118,287.0,381.0
119,242.0,380.0
120,227.0,369.0
121,188.0,377.0
122,196.0,385.0
123,195.0,395.0
124,223.0,378.0
125,173.0,386.0
126,197.0,387.0
127,185.0,382.0
128,172.0,362.0
129,127.0,377.0
130,137.0,395.0
131,157.0,406.0
132,181.0,399.0
133,169.0,401.0
134,204.0,417.0
135,205.0,380.0
136,176.0,393.0
137,174.0,388.0
138,183.0,365.0
139,144.0,348.0
140,125.0,327.0
141,96.0,297.0
142,85.0,272.0
143,68.0,252.0
