Turn,Happiness,Load
0,0,58
1,0,58
2,0,58
3,0,58
4,0,74
5,0,74
6,0,68
7,0,72
8,8,77
9,160,91
10,168,83
11,150,78
12,150,78
13,137,78
14,147,80
15,146,79
16,129,79
17,129,79
18,123,76
19,130,78
20,130,78
21,141,86
22,139,83
23,134,80
24,134,80
25,134,80
26,134,80
27,134,80
28,127,75
29,121,73
30,121,73
31,120,76
32,101,80
33,89,77
34,86,78
35,95,79
36,94,80
37,84,81
38,82,77
39,78,77
40,75,78
41,79,87
42,63,81
43,55,76
44,50,78
45,50,78
46,41,79
47,33,75
48,28,76
49,23,78
50,23,78
51,23,78
52,23,78
53,8,78
54,8,78
55,15,82
56,15,82
57,15,82
58,15,82
59,15,82
60,15,82
61,15,82
62,15,82
63,15,82
64,14,86
65,17,79
66,17,77
67,18,78
68,21,79
69,24,80
70,27,81
71,27,81
72,27,81
73,27,81
74,27,81
75,31,83
76,17,83
77,19,83
78,25,81
79,29,86
80,36,82
81,37,81
82,41,82
83,45,79
84,50,80
85,51,88
86,46,86
87,47,80
88,41,81
89,45,77
90,46,80
91,50,82
92,61,86
93,63,80
94,63,80
95,67,84
96,82,77
97,82,77
98,88,82
99,39,78
100,39,78
101,39,78
102,44,83
103,44,83
104,44,83
105,44,83
106,44,83
107,44,83
108,44,83
109,44,83
110,44,83
111,44,83
112,44,83
113,44,83
114,44,83
115,39,82
116,39,82
117,39,82
118,39,82
119,39,82
120,39,82
121,39,82
122,46,84
123,46,84
124,46,84
125,46,84
126,53,79
127,54,89
128,47,81
129,47,81
130,53,87
131,14,86
132,16,88
133,19,85
134,17,85
135,17,85
136,23,79
137,28,86
138,8,82
139,8,75
140,8,75
141,8,75
142,8,75
143,8,75
